板块代码,板块名称,主力净流入
BK1036,半导体,14278501120.0
BK1037,消费电子,5397739776.0
BK0459,电子元件,2984031744.0
BK1031,光伏设备,2782566656.0
BK0481,汽车零部件,2755128576.0
BK0425,工程建设,2088580352.0
BK0545,通用设备,1650710016.0
BK1038,光学光电子,1596568576.0
BK0456,家电行业,1139155968.0
BK1030,电机,1094138016.0
