板块代码,板块名称,主力净流入,日期
BK0480,航天航空,1119632128.0,2025-12-18
BK1042,医药商业,868785712.0,2025-12-18
BK0475,银行,814143744.0,2025-12-18
BK0486,文化传媒,667426640.0,2025-12-18
BK0474,保险,603818384.0,2025-12-18
BK0437,煤炭行业,442142496.0,2025-12-18
BK0733,包装材料,327817056.0,2025-12-18
BK0440,家用轻工,327354860.0,2025-12-18
BK0727,医疗服务,258830368.0,2025-12-18
BK1043,专业服务,199998272.0,2025-12-18
BK0436,纺织服装,196844064.0,2025-12-18
BK1045,房地产服务,184128042.0,2025-12-18
BK1018,橡胶制品,161863696.0,2025-12-18
BK1032,风电设备,153151040.0,2025-12-18
BK1041,医疗器械,137047360.0,2025-12-18
BK0458,仪器仪表,133869664.0,2025-12-18
BK0464,石油行业,129018624.0,2025-12-18
BK1046,游戏,117810560.0,2025-12-18
BK0734,珠宝首饰,116684138.0,2025-12-18
BK1017,采掘行业,48701527.0,2025-12-18
BK0729,船舶制造,45290032.0,2025-12-18
BK0725,装修装饰,28791424.0,2025-12-18
BK0471,化纤行业,27996624.0,2025-12-18
BK0484,贸易行业,27676272.0,2025-12-18
BK0736,通信服务,7498288.0,2025-12-18
BK0429,交运设备,-28105520.0,2025-12-18
BK1015,能源金属,-35025648.0,2025-12-18
BK0740,教育,-46160309.0,2025-12-18
BK0739,工程机械,-49506560.0,2025-12-18
BK1016,汽车服务,-51282056.0,2025-12-18
BK1035,美容护理,-64657121.0,2025-12-18
BK0726,工程咨询服务,-78644218.0,2025-12-18
BK0456,家电行业,-81517856.0,2025-12-18
BK0424,水泥建材,-85391088.0,2025-12-18
BK0479,钢铁行业,-98712416.0,2025-12-18
BK0427,公用事业,-136163610.0,2025-12-18
BK0470,造纸印刷,-152279936.0,2025-12-18
BK1028,燃气,-156625661.0,2025-12-18
BK0421,铁路公路,-159939152.0,2025-12-18
BK0420,航空机场,-162776000.0,2025-12-18
BK1019,化学原料,-168802032.0,2025-12-18
BK0539,综合行业,-173063232.0,2025-12-18
BK0732,贵金属,-177722928.0,2025-12-18
BK0433,农牧饲渔,-195528000.0,2025-12-18
BK1044,生物制品,-196104928.0,2025-12-18
BK0730,农药兽药,-202479712.0,2025-12-18
BK0731,化肥行业,-225337936.0,2025-12-18
BK0476,装修建材,-236351984.0,2025-12-18
BK0454,塑料制品,-244486240.0,2025-12-18
BK0450,航运港口,-274498800.0,2025-12-18
BK0738,多元金融,-298402304.0,2025-12-18
BK0482,商业百货,-310566656.0,2025-12-18
BK0438,食品饮料,-312469648.0,2025-12-18
BK0546,玻璃玻纤,-327389088.0,2025-12-18
BK1040,中药,-335582048.0,2025-12-18
BK0728,环保行业,-336985008.0,2025-12-18
BK0451,房地产开发,-341888336.0,2025-12-18
BK0425,工程建设,-360124944.0,2025-12-18
BK0428,电力行业,-387593856.0,2025-12-18
BK1030,电机,-399510176.0,2025-12-18
BK0422,物流行业,-405743616.0,2025-12-18
BK0481,汽车零部件,-468769280.0,2025-12-18
BK0465,化学制药,-495139136.0,2025-12-18
BK0545,通用设备,-501461248.0,2025-12-18
BK0477,酿酒行业,-561943968.0,2025-12-18
BK1020,非金属材料,-700260000.0,2025-12-18
BK1027,小金属,-755864832.0,2025-12-18
BK1034,电源设备,-887727104.0,2025-12-18
BK1039,电子化学品,-932110160.0,2025-12-18
BK1038,光学光电子,-939758592.0,2025-12-18
BK0735,计算机设备,-951672304.0,2025-12-18
BK0478,有色金属,-970280192.0,2025-12-18
BK0485,旅游酒店,-1046622768.0,2025-12-18
BK0538,化学制品,-1104888832.0,2025-12-18
BK1029,汽车整车,-1123747296.0,2025-12-18
BK1031,光伏设备,-1375219968.0,2025-12-18
BK0447,互联网服务,-1394212096.0,2025-12-18
BK1036,半导体,-1664926208.0,2025-12-18
BK0737,软件开发,-1848551424.0,2025-12-18
BK0457,电网设备,-1960901984.0,2025-12-18
BK0473,证券,-2598150656.0,2025-12-18
BK0910,专用设备,-2763761152.0,2025-12-18
BK0448,通信设备,-3199074816.0,2025-12-18
BK1033,电池,-3257971456.0,2025-12-18
BK0459,电子元件,-3915633664.0,2025-12-18
BK1037,消费电子,-4890149888.0,2025-12-18
