板块代码,板块名称,主力净流入
BK0538,化学制品,1240634880.0
BK1029,汽车整车,1232837904.0
BK1038,光学光电子,1036645888.0
BK0481,汽车零部件,1030848864.0
BK1015,能源金属,1018489600.0
BK0459,电子元件,936342784.0
BK1037,消费电子,803089152.0
BK1027,小金属,785307744.0
BK0457,电网设备,781147776.0
BK1033,电池,732561152.0
