板块代码,板块名称,主力净流入
BK0481,汽车零部件,3342699008.0
BK1015,能源金属,2147662736.0
BK0545,通用设备,1708752384.0
BK0482,商业百货,1311880704.0
BK0485,旅游酒店,842693248.0
BK0474,保险,791772896.0
BK0731,化肥行业,772119920.0
BK0433,农牧饲渔,756746336.0
BK0910,专用设备,665277696.0
BK1033,电池,529834464.0
