板块代码,板块名称,主力净流入,日期
BK0448,通信设备,4569131776.0,2025-12-17
BK0459,电子元件,2971867392.0,2025-12-17
BK1015,能源金属,2083477184.0,2025-12-17
BK1037,消费电子,1877252864.0,2025-12-17
BK0473,证券,1544618752.0,2025-12-17
BK1033,电池,1228114176.0,2025-12-17
BK1036,半导体,1137980160.0,2025-12-17
BK0910,专用设备,1117145856.0,2025-12-17
BK0538,化学制品,1081795344.0,2025-12-17
BK1031,光伏设备,1008593408.0,2025-12-17
BK0478,有色金属,754796032.0,2025-12-17
BK0474,保险,717439728.0,2025-12-17
BK0727,医疗服务,683922944.0,2025-12-17
BK1020,非金属材料,619579568.0,2025-12-17
BK1027,小金属,466201856.0,2025-12-17
BK0475,银行,449831360.0,2025-12-17
BK1034,电源设备,408701936.0,2025-12-17
BK1046,游戏,374432672.0,2025-12-17
BK0546,玻璃玻纤,330971696.0,2025-12-17
BK0479,钢铁行业,327832272.0,2025-12-17
BK1042,医药商业,292065488.0,2025-12-17
BK0731,化肥行业,238838672.0,2025-12-17
BK0740,教育,176068623.0,2025-12-17
BK0485,旅游酒店,172279584.0,2025-12-17
BK0732,贵金属,153663584.0,2025-12-17
BK1040,中药,95812336.0,2025-12-17
BK0738,多元金融,81828032.0,2025-12-17
BK0733,包装材料,69454096.0,2025-12-17
BK0484,贸易行业,68998448.0,2025-12-17
BK1035,美容护理,43793273.0,2025-12-17
BK0470,造纸印刷,37705200.0,2025-12-17
BK0486,文化传媒,27192208.0,2025-12-17
BK1045,房地产服务,24198100.0,2025-12-17
BK0450,航运港口,14772640.0,2025-12-17
BK0456,家电行业,11358656.0,2025-12-17
BK1038,光学光电子,-9216000.0,2025-12-17
BK0437,煤炭行业,-18738784.0,2025-12-17
BK0427,公用事业,-20378336.0,2025-12-17
BK0464,石油行业,-21515296.0,2025-12-17
BK0734,珠宝首饰,-30876636.0,2025-12-17
BK1017,采掘行业,-32254102.0,2025-12-17
BK1019,化学原料,-36779328.0,2025-12-17
BK0725,装修装饰,-41495744.0,2025-12-17
BK1016,汽车服务,-49291847.0,2025-12-17
BK1041,医疗器械,-74579440.0,2025-12-17
BK0422,物流行业,-89564208.0,2025-12-17
BK0730,农药兽药,-101649712.0,2025-12-17
BK0476,装修建材,-104512544.0,2025-12-17
BK1030,电机,-127343712.0,2025-12-17
BK0471,化纤行业,-130878613.0,2025-12-17
BK0458,仪器仪表,-137684240.0,2025-12-17
BK0429,交运设备,-141879872.0,2025-12-17
BK0421,铁路公路,-143089456.0,2025-12-17
BK0420,航空机场,-153034752.0,2025-12-17
BK0436,纺织服装,-156415680.0,2025-12-17
BK0739,工程机械,-166484112.0,2025-12-17
BK0438,食品饮料,-182927344.0,2025-12-17
BK1018,橡胶制品,-187667312.0,2025-12-17
BK1028,燃气,-203278144.0,2025-12-17
BK0726,工程咨询服务,-205779457.0,2025-12-17
BK0440,家用轻工,-216213182.0,2025-12-17
BK0539,综合行业,-218923776.0,2025-12-17
BK0425,工程建设,-228884128.0,2025-12-17
BK0454,塑料制品,-234926944.0,2025-12-17
BK0736,通信服务,-264477728.0,2025-12-17
BK0428,电力行业,-315227824.0,2025-12-17
BK0424,水泥建材,-316725984.0,2025-12-17
BK1043,专业服务,-359496336.0,2025-12-17
BK0735,计算机设备,-391280464.0,2025-12-17
BK0728,环保行业,-392627792.0,2025-12-17
BK1032,风电设备,-424936160.0,2025-12-17
BK0451,房地产开发,-428410240.0,2025-12-17
BK1044,生物制品,-433174752.0,2025-12-17
BK0477,酿酒行业,-437582304.0,2025-12-17
BK0465,化学制药,-462839312.0,2025-12-17
BK0729,船舶制造,-511480336.0,2025-12-17
BK1039,电子化学品,-631774288.0,2025-12-17
BK0737,软件开发,-768652032.0,2025-12-17
BK0481,汽车零部件,-935514880.0,2025-12-17
BK0545,通用设备,-1096922560.0,2025-12-17
BK0447,互联网服务,-1176977664.0,2025-12-17
BK1029,汽车整车,-1485355872.0,2025-12-17
BK0457,电网设备,-1655849728.0,2025-12-17
BK0433,农牧饲渔,-1965536048.0,2025-12-17
BK0482,商业百货,-2222245120.0,2025-12-17
BK0480,航天航空,-2710564352.0,2025-12-17
