板块代码,板块名称,主力净流入,日期
BK0448,通信设备,8505246976.0,2025-12-22
BK0459,电子元件,3079549440.0,2025-12-22
BK1037,消费电子,2622961920.0,2025-12-22
BK1030,电机,2471522304.0,2025-12-22
BK1036,半导体,1844709376.0,2025-12-22
BK0454,塑料制品,1087077248.0,2025-12-22
BK0478,有色金属,807752704.0,2025-12-22
BK0732,贵金属,690010032.0,2025-12-22
BK0485,旅游酒店,605428768.0,2025-12-22
BK1029,汽车整车,496908288.0,2025-12-22
BK1033,电池,447411456.0,2025-12-22
BK0538,化学制品,439582544.0,2025-12-22
BK0546,玻璃玻纤,413292256.0,2025-12-22
BK0420,航空机场,384723104.0,2025-12-22
BK0910,专用设备,369755392.0,2025-12-22
BK1015,能源金属,359569904.0,2025-12-22
BK0450,航运港口,338437968.0,2025-12-22
BK1034,电源设备,323502432.0,2025-12-22
BK1027,小金属,297585920.0,2025-12-22
BK1020,非金属材料,294074928.0,2025-12-22
BK1039,电子化学品,285953344.0,2025-12-22
BK0424,水泥建材,233056784.0,2025-12-22
BK1018,橡胶制品,232948112.0,2025-12-22
BK0425,工程建设,153722176.0,2025-12-22
BK0456,家电行业,140191296.0,2025-12-22
BK0726,工程咨询服务,132594720.0,2025-12-22
BK0421,铁路公路,101539824.0,2025-12-22
BK1028,燃气,100435696.0,2025-12-22
BK1016,汽车服务,78698556.0,2025-12-22
BK0474,保险,56653616.0,2025-12-22
BK0422,物流行业,41412816.0,2025-12-22
BK0465,化学制药,31587504.0,2025-12-22
BK0471,化纤行业,30945440.0,2025-12-22
BK0539,综合行业,1965872.0,2025-12-22
BK0458,仪器仪表,-586944.0,2025-12-22
BK0731,化肥行业,-6186144.0,2025-12-22
BK0738,多元金融,-19658592.0,2025-12-22
BK0734,珠宝首饰,-23818522.0,2025-12-22
BK0464,石油行业,-25741184.0,2025-12-22
BK0427,公用事业,-52015371.0,2025-12-22
BK1017,采掘行业,-53971296.0,2025-12-22
BK0725,装修装饰,-54256480.0,2025-12-22
BK1032,风电设备,-56021024.0,2025-12-22
BK0739,工程机械,-58071536.0,2025-12-22
BK0479,钢铁行业,-66731984.0,2025-12-22
BK0457,电网设备,-68350416.0,2025-12-22
BK0470,造纸印刷,-87769984.0,2025-12-22
BK0735,计算机设备,-89293152.0,2025-12-22
BK1045,房地产服务,-97585568.0,2025-12-22
BK0437,煤炭行业,-110376672.0,2025-12-22
BK1019,化学原料,-112857280.0,2025-12-22
BK1035,美容护理,-117904851.0,2025-12-22
BK0484,贸易行业,-132790800.0,2025-12-22
BK1040,中药,-160365280.0,2025-12-22
BK0440,家用轻工,-181714096.0,2025-12-22
BK1031,光伏设备,-189649664.0,2025-12-22
BK0429,交运设备,-230871136.0,2025-12-22
BK0729,船舶制造,-237651776.0,2025-12-22
BK0740,教育,-245753400.0,2025-12-22
BK1041,医疗器械,-246000784.0,2025-12-22
BK0730,农药兽药,-247468480.0,2025-12-22
BK0451,房地产开发,-287074800.0,2025-12-22
BK0476,装修建材,-294516752.0,2025-12-22
BK0438,食品饮料,-325159888.0,2025-12-22
BK1044,生物制品,-343297520.0,2025-12-22
BK0728,环保行业,-374841904.0,2025-12-22
BK1043,专业服务,-441989696.0,2025-12-22
BK0733,包装材料,-500987664.0,2025-12-22
BK0436,纺织服装,-521318656.0,2025-12-22
BK0475,银行,-585800656.0,2025-12-22
BK0477,酿酒行业,-625536080.0,2025-12-22
BK1046,游戏,-722715440.0,2025-12-22
BK1042,医药商业,-757183168.0,2025-12-22
BK0727,医疗服务,-784377040.0,2025-12-22
BK0428,电力行业,-823399536.0,2025-12-22
BK0433,农牧饲渔,-906237888.0,2025-12-22
BK0736,通信服务,-988246448.0,2025-12-22
BK0737,软件开发,-1245830656.0,2025-12-22
BK0473,证券,-1262010432.0,2025-12-22
BK0545,通用设备,-1298186496.0,2025-12-22
BK0486,文化传媒,-1324920896.0,2025-12-22
BK0481,汽车零部件,-1351144960.0,2025-12-22
BK1038,光学光电子,-1593717920.0,2025-12-22
BK0447,互联网服务,-1630139536.0,2025-12-22
BK0480,航天航空,-2264741888.0,2025-12-22
BK0482,商业百货,-2380464896.0,2025-12-22
