板块代码,板块名称,主力净流入,日期
BK0482,商业百货,3445292240.0,2025-12-16
BK0740,教育,528670472.0,2025-12-16
BK1029,汽车整车,426334032.0,2025-12-16
BK0738,多元金融,332058752.0,2025-12-16
BK0421,铁路公路,182320320.0,2025-12-16
BK0436,纺织服装,170802336.0,2025-12-16
BK1045,房地产服务,163553366.0,2025-12-16
BK1035,美容护理,81764352.0,2025-12-16
BK0438,食品饮料,80358928.0,2025-12-16
BK0736,通信服务,30122544.0,2025-12-16
BK0485,旅游酒店,-15038016.0,2025-12-16
BK0725,装修装饰,-35428480.0,2025-12-16
BK0424,水泥建材,-50178800.0,2025-12-16
BK0734,珠宝首饰,-73260617.0,2025-12-16
BK1016,汽车服务,-76688760.0,2025-12-16
BK0728,环保行业,-84582352.0,2025-12-16
BK1017,采掘行业,-120497264.0,2025-12-16
BK0440,家用轻工,-138822348.0,2025-12-16
BK0464,石油行业,-140958592.0,2025-12-16
BK0427,公用事业,-167630516.0,2025-12-16
BK0429,交运设备,-199537904.0,2025-12-16
BK0476,装修建材,-201815376.0,2025-12-16
BK0730,农药兽药,-222403504.0,2025-12-16
BK0477,酿酒行业,-222759936.0,2025-12-16
BK0422,物流行业,-229960688.0,2025-12-16
BK0726,工程咨询服务,-236572604.0,2025-12-16
BK0471,化纤行业,-263013648.0,2025-12-16
BK1041,医疗器械,-288864912.0,2025-12-16
BK0420,航空机场,-302418736.0,2025-12-16
BK1043,专业服务,-307499120.0,2025-12-16
BK0437,煤炭行业,-310959728.0,2025-12-16
BK0475,银行,-327187328.0,2025-12-16
BK1039,电子化学品,-332400176.0,2025-12-16
BK0546,玻璃玻纤,-333407568.0,2025-12-16
BK0458,仪器仪表,-339204176.0,2025-12-16
BK0484,贸易行业,-368481008.0,2025-12-16
BK1028,燃气,-373489280.0,2025-12-16
BK1042,医药商业,-374000096.0,2025-12-16
BK1018,橡胶制品,-385599184.0,2025-12-16
BK0731,化肥行业,-425097104.0,2025-12-16
BK0470,造纸印刷,-432011952.0,2025-12-16
BK0450,航运港口,-469716960.0,2025-12-16
BK0739,工程机械,-493971104.0,2025-12-16
BK0733,包装材料,-549738896.0,2025-12-16
BK1019,化学原料,-551008048.0,2025-12-16
BK0732,贵金属,-560841216.0,2025-12-16
BK0479,钢铁行业,-581944960.0,2025-12-16
BK0539,综合行业,-607724736.0,2025-12-16
BK0456,家电行业,-626367504.0,2025-12-16
BK0474,保险,-635325232.0,2025-12-16
BK0737,软件开发,-643985152.0,2025-12-16
BK1044,生物制品,-644536928.0,2025-12-16
BK1046,游戏,-671402864.0,2025-12-16
BK0451,房地产开发,-677401632.0,2025-12-16
BK0481,汽车零部件,-708617728.0,2025-12-16
BK1030,电机,-719055344.0,2025-12-16
BK0727,医疗服务,-774753296.0,2025-12-16
BK1040,中药,-837832640.0,2025-12-16
BK0473,证券,-843613792.0,2025-12-16
BK0454,塑料制品,-863442432.0,2025-12-16
BK1020,非金属材料,-925711152.0,2025-12-16
BK1032,风电设备,-939457776.0,2025-12-16
BK0729,船舶制造,-1002995184.0,2025-12-16
BK0425,工程建设,-1022771952.0,2025-12-16
BK0735,计算机设备,-1118475216.0,2025-12-16
BK1038,光学光电子,-1155022848.0,2025-12-16
BK1015,能源金属,-1189881152.0,2025-12-16
BK1034,电源设备,-1280469008.0,2025-12-16
BK0433,农牧饲渔,-1288620304.0,2025-12-16
BK0480,航天航空,-1326520576.0,2025-12-16
BK0428,电力行业,-1390588064.0,2025-12-16
BK0538,化学制品,-1895772160.0,2025-12-16
BK0465,化学制药,-2271955008.0,2025-12-16
BK0486,文化传媒,-2366030640.0,2025-12-16
BK1027,小金属,-2449243168.0,2025-12-16
BK1037,消费电子,-2498575104.0,2025-12-16
BK0459,电子元件,-2554828800.0,2025-12-16
BK1033,电池,-2566096736.0,2025-12-16
BK0457,电网设备,-2899007744.0,2025-12-16
BK0545,通用设备,-3671826144.0,2025-12-16
BK0910,专用设备,-3675341568.0,2025-12-16
BK0478,有色金属,-3898048864.0,2025-12-16
BK0447,互联网服务,-4019710464.0,2025-12-16
BK1031,光伏设备,-5330374400.0,2025-12-16
BK1036,半导体,-6950698496.0,2025-12-16
BK0448,通信设备,-8043500544.0,2025-12-16
