板块代码,板块名称,主力净流入,日期
BK1036,半导体,4924799488.0,2026-01-15
BK1033,电池,3081724672.0,2026-01-15
BK1039,电子化学品,2442771856.0,2026-01-15
BK1020,非金属材料,1866650576.0,2026-01-15
BK1037,消费电子,1837260288.0,2026-01-15
BK0459,电子元件,1608075776.0,2026-01-15
BK1015,能源金属,1581642752.0,2026-01-15
BK0538,化学制品,1470891776.0,2026-01-15
BK1027,小金属,1101701888.0,2026-01-15
BK0485,旅游酒店,617229552.0,2026-01-15
BK0451,房地产开发,602012032.0,2026-01-15
BK1018,橡胶制品,461200432.0,2026-01-15
BK0730,农药兽药,416472480.0,2026-01-15
BK0732,贵金属,345445008.0,2026-01-15
BK0731,化肥行业,321305696.0,2026-01-15
BK0546,玻璃玻纤,309720432.0,2026-01-15
BK0429,交运设备,155410656.0,2026-01-15
BK0739,工程机械,150919952.0,2026-01-15
BK0421,铁路公路,133565168.0,2026-01-15
BK1045,房地产服务,106213600.0,2026-01-15
BK0725,装修装饰,80239296.0,2026-01-15
BK0437,煤炭行业,62644720.0,2026-01-15
BK0422,物流行业,22678560.0,2026-01-15
BK0476,装修建材,14062800.0,2026-01-15
BK1019,化学原料,9939104.0,2026-01-15
BK0479,钢铁行业,-5684192.0,2026-01-15
BK1016,汽车服务,-17266950.0,2026-01-15
BK0475,银行,-19618816.0,2026-01-15
BK0427,公用事业,-23558419.0,2026-01-15
BK1035,美容护理,-28453568.0,2026-01-15
BK0734,珠宝首饰,-116404637.0,2026-01-15
BK0726,工程咨询服务,-147471584.0,2026-01-15
BK0474,保险,-164918288.0,2026-01-15
BK0420,航空机场,-196965232.0,2026-01-15
BK0450,航运港口,-200798384.0,2026-01-15
BK0454,塑料制品,-249030256.0,2026-01-15
BK1040,中药,-252187472.0,2026-01-15
BK0471,化纤行业,-262260576.0,2026-01-15
BK0438,食品饮料,-273400192.0,2026-01-15
BK1017,采掘行业,-276298304.0,2026-01-15
BK1028,燃气,-318378080.0,2026-01-15
BK0729,船舶制造,-322259808.0,2026-01-15
BK0470,造纸印刷,-348673936.0,2026-01-15
BK0440,家用轻工,-361725792.0,2026-01-15
BK0424,水泥建材,-368886096.0,2026-01-15
BK0456,家电行业,-401877504.0,2026-01-15
BK1030,电机,-406672992.0,2026-01-15
BK0728,环保行业,-500401712.0,2026-01-15
BK0464,石油行业,-518464048.0,2026-01-15
BK0458,仪器仪表,-523272080.0,2026-01-15
BK0539,综合行业,-565227536.0,2026-01-15
BK0733,包装材料,-580331744.0,2026-01-15
BK0428,电力行业,-593771680.0,2026-01-15
BK0484,贸易行业,-606945648.0,2026-01-15
BK0740,教育,-638340400.0,2026-01-15
BK0425,工程建设,-675240960.0,2026-01-15
BK0436,纺织服装,-701953840.0,2026-01-15
BK1043,专业服务,-733448048.0,2026-01-15
BK1031,光伏设备,-738390784.0,2026-01-15
BK0910,专用设备,-825944064.0,2026-01-15
BK1044,生物制品,-966944752.0,2026-01-15
BK1042,医药商业,-996707040.0,2026-01-15
BK1029,汽车整车,-1064024336.0,2026-01-15
BK0738,多元金融,-1135254640.0,2026-01-15
BK0478,有色金属,-1137382656.0,2026-01-15
BK0477,酿酒行业,-1159879776.0,2026-01-15
BK1038,光学光电子,-1367695616.0,2026-01-15
BK0465,化学制药,-1456342880.0,2026-01-15
BK1034,电源设备,-1468482928.0,2026-01-15
BK0433,农牧饲渔,-1536523696.0,2026-01-15
BK0482,商业百货,-1554369712.0,2026-01-15
BK0457,电网设备,-1720749824.0,2026-01-15
BK1041,医疗器械,-1937111040.0,2026-01-15
BK0727,医疗服务,-1957832448.0,2026-01-15
BK1046,游戏,-1977720768.0,2026-01-15
BK0736,通信服务,-2124370688.0,2026-01-15
BK1032,风电设备,-2267224784.0,2026-01-15
BK0473,证券,-2870346752.0,2026-01-15
BK0735,计算机设备,-2884074512.0,2026-01-15
BK0545,通用设备,-3161628416.0,2026-01-15
BK0480,航天航空,-3519230208.0,2026-01-15
BK0481,汽车零部件,-3574789120.0,2026-01-15
BK0448,通信设备,-4185864192.0,2026-01-15
BK0486,文化传媒,-8516524288.0,2026-01-15
BK0737,软件开发,-11764279296.0,2026-01-15
BK0447,互联网服务,-15790130176.0,2026-01-15
