板块代码,板块名称,主力净流入
BK0480,航天航空,4101227008.0
BK0486,文化传媒,3797777152.0
BK0447,互联网服务,3215817216.0
BK0733,包装材料,772414064.0
BK0475,银行,770260400.0
BK0485,旅游酒店,705807072.0
BK1038,光学光电子,635486208.0
BK0737,软件开发,436860160.0
BK0726,工程咨询服务,415683024.0
BK0735,计算机设备,395565568.0
