板块代码,板块名称,主力净流入,日期
BK0481,汽车零部件,3342699008.0,2025-12-19
BK1015,能源金属,2147662736.0,2025-12-19
BK0545,通用设备,1708752384.0,2025-12-19
BK0482,商业百货,1311880704.0,2025-12-19
BK0485,旅游酒店,842693248.0,2025-12-19
BK0474,保险,791772896.0,2025-12-19
BK0731,化肥行业,772119920.0,2025-12-19
BK0433,农牧饲渔,756746336.0,2025-12-19
BK0910,专用设备,665277696.0,2025-12-19
BK1033,电池,529834464.0,2025-12-19
BK1037,消费电子,523457792.0,2025-12-19
BK1027,小金属,519250688.0,2025-12-19
BK0728,环保行业,396848448.0,2025-12-19
BK1019,化学原料,361833264.0,2025-12-19
BK0438,食品饮料,358096896.0,2025-12-19
BK1034,电源设备,356304688.0,2025-12-19
BK1020,非金属材料,339536544.0,2025-12-19
BK1046,游戏,336914272.0,2025-12-19
BK1043,专业服务,278559424.0,2025-12-19
BK1029,汽车整车,277642880.0,2025-12-19
BK0539,综合行业,265697056.0,2025-12-19
BK0448,通信设备,224974592.0,2025-12-19
BK0457,电网设备,218988704.0,2025-12-19
BK0436,纺织服装,215797760.0,2025-12-19
BK0479,钢铁行业,184204496.0,2025-12-19
BK0451,房地产开发,171853008.0,2025-12-19
BK0546,玻璃玻纤,168060368.0,2025-12-19
BK0478,有色金属,167727872.0,2025-12-19
BK0740,教育,148637367.0,2025-12-19
BK0465,化学制药,107225664.0,2025-12-19
BK0440,家用轻工,103727040.0,2025-12-19
BK0739,工程机械,102560112.0,2025-12-19
BK0424,水泥建材,93923456.0,2025-12-19
BK1031,光伏设备,77237504.0,2025-12-19
BK1030,电机,66644912.0,2025-12-19
BK0428,电力行业,28942864.0,2025-12-19
BK1035,美容护理,27064112.0,2025-12-19
BK1045,房地产服务,22501456.0,2025-12-19
BK0429,交运设备,13556464.0,2025-12-19
BK0458,仪器仪表,-2467920.0,2025-12-19
BK1016,汽车服务,-3571769.0,2025-12-19
BK0738,多元金融,-3715056.0,2025-12-19
BK0421,铁路公路,-4793088.0,2025-12-19
BK1017,采掘行业,-10311696.0,2025-12-19
BK0725,装修装饰,-16551408.0,2025-12-19
BK0425,工程建设,-25240320.0,2025-12-19
BK1041,医疗器械,-36189792.0,2025-12-19
BK1040,中药,-37674384.0,2025-12-19
BK0476,装修建材,-43723040.0,2025-12-19
BK1028,燃气,-44011038.0,2025-12-19
BK0456,家电行业,-53548736.0,2025-12-19
BK0729,船舶制造,-55242048.0,2025-12-19
BK0427,公用事业,-68578829.0,2025-12-19
BK0732,贵金属,-80215136.0,2025-12-19
BK0734,珠宝首饰,-88402836.0,2025-12-19
BK0447,互联网服务,-112488704.0,2025-12-19
BK0470,造纸印刷,-116247696.0,2025-12-19
BK0726,工程咨询服务,-134932191.0,2025-12-19
BK1044,生物制品,-218528912.0,2025-12-19
BK0450,航运港口,-220192608.0,2025-12-19
BK0484,贸易行业,-222447168.0,2025-12-19
BK0420,航空机场,-224658624.0,2025-12-19
BK0730,农药兽药,-226866192.0,2025-12-19
BK0471,化纤行业,-229562112.0,2025-12-19
BK0737,软件开发,-236287744.0,2025-12-19
BK0735,计算机设备,-256583536.0,2025-12-19
BK0733,包装材料,-277942688.0,2025-12-19
BK0454,塑料制品,-282187824.0,2025-12-19
BK0422,物流行业,-284852336.0,2025-12-19
BK0736,通信服务,-284952064.0,2025-12-19
BK1018,橡胶制品,-312399984.0,2025-12-19
BK0486,文化传媒,-325850768.0,2025-12-19
BK0437,煤炭行业,-353679776.0,2025-12-19
BK0464,石油行业,-367696656.0,2025-12-19
BK0538,化学制品,-462386416.0,2025-12-19
BK0727,医疗服务,-483495648.0,2025-12-19
BK0480,航天航空,-534534400.0,2025-12-19
BK0477,酿酒行业,-668676816.0,2025-12-19
BK1032,风电设备,-685108032.0,2025-12-19
BK1039,电子化学品,-857783536.0,2025-12-19
BK0473,证券,-1033426768.0,2025-12-19
BK1038,光学光电子,-1038504784.0,2025-12-19
BK1042,医药商业,-1066877312.0,2025-12-19
BK0475,银行,-1103323328.0,2025-12-19
BK0459,电子元件,-1257463040.0,2025-12-19
BK1036,半导体,-2829082624.0,2025-12-19
