板块代码,板块名称,主力净流入
BK0480,航天航空,1119632128.0
BK1042,医药商业,868785712.0
BK0475,银行,814143744.0
BK0486,文化传媒,667426640.0
BK0474,保险,603818384.0
BK0437,煤炭行业,442142496.0
BK0733,包装材料,327817056.0
BK0440,家用轻工,327354860.0
BK0727,医疗服务,258830368.0
BK1043,专业服务,199998272.0
