板块代码,板块名称,主力净流入,日期
BK0437,煤炭行业,2141502656.0,2026-01-07
BK1027,小金属,2081515520.0,2026-01-07
BK1034,电源设备,1380129840.0,2026-01-07
BK1036,半导体,1118544384.0,2026-01-07
BK0457,电网设备,989188352.0,2026-01-07
BK0448,通信设备,755262976.0,2026-01-07
BK0910,专用设备,663956480.0,2026-01-07
BK1039,电子化学品,572100864.0,2026-01-07
BK0733,包装材料,466673632.0,2026-01-07
BK1044,生物制品,414075536.0,2026-01-07
BK0485,旅游酒店,368913664.0,2026-01-07
BK1015,能源金属,153854464.0,2026-01-07
BK1018,橡胶制品,124550192.0,2026-01-07
BK0424,水泥建材,90166784.0,2026-01-07
BK0725,装修装饰,45554048.0,2026-01-07
BK0734,珠宝首饰,13741401.0,2026-01-07
BK0450,航运港口,8222464.0,2026-01-07
BK1016,汽车服务,1830603.0,2026-01-07
BK1020,非金属材料,-23368704.0,2026-01-07
BK0539,综合行业,-44679936.0,2026-01-07
BK0427,公用事业,-73061453.0,2026-01-07
BK1035,美容护理,-76405623.0,2026-01-07
BK0739,工程机械,-82332640.0,2026-01-07
BK0726,工程咨询服务,-82595120.0,2026-01-07
BK0440,家用轻工,-86805232.0,2026-01-07
BK0438,食品饮料,-106536848.0,2026-01-07
BK1017,采掘行业,-106550960.0,2026-01-07
BK0428,电力行业,-119169152.0,2026-01-07
BK1045,房地产服务,-122949358.0,2026-01-07
BK0476,装修建材,-146719312.0,2026-01-07
BK1040,中药,-154708240.0,2026-01-07
BK0451,房地产开发,-155697008.0,2026-01-07
BK0484,贸易行业,-195050336.0,2026-01-07
BK1028,燃气,-195683072.0,2026-01-07
BK0425,工程建设,-200000400.0,2026-01-07
BK1042,医药商业,-245548624.0,2026-01-07
BK0482,商业百货,-263631696.0,2026-01-07
BK0740,教育,-270914048.0,2026-01-07
BK0421,铁路公路,-280106544.0,2026-01-07
BK0470,造纸印刷,-289188832.0,2026-01-07
BK0477,酿酒行业,-293603472.0,2026-01-07
BK0420,航空机场,-353420480.0,2026-01-07
BK0728,环保行业,-375488880.0,2026-01-07
BK0433,农牧饲渔,-386760096.0,2026-01-07
BK0730,农药兽药,-418534112.0,2026-01-07
BK0471,化纤行业,-432154848.0,2026-01-07
BK0429,交运设备,-469733360.0,2026-01-07
BK0479,钢铁行业,-486145040.0,2026-01-07
BK0436,纺织服装,-489148624.0,2026-01-07
BK0454,塑料制品,-489810000.0,2026-01-07
BK0546,玻璃玻纤,-527867280.0,2026-01-07
BK0738,多元金融,-539883808.0,2026-01-07
BK0474,保险,-548026496.0,2026-01-07
BK1019,化学原料,-564260000.0,2026-01-07
BK1043,专业服务,-633600704.0,2026-01-07
BK0464,石油行业,-726496928.0,2026-01-07
BK1046,游戏,-747222352.0,2026-01-07
BK0422,物流行业,-754079488.0,2026-01-07
BK0475,银行,-755270912.0,2026-01-07
BK0465,化学制药,-769124288.0,2026-01-07
BK0731,化肥行业,-809377968.0,2026-01-07
BK0458,仪器仪表,-823947888.0,2026-01-07
BK1038,光学光电子,-850183680.0,2026-01-07
BK1031,光伏设备,-857059584.0,2026-01-07
BK0729,船舶制造,-904436384.0,2026-01-07
BK1030,电机,-916550064.0,2026-01-07
BK0732,贵金属,-1020984256.0,2026-01-07
BK1029,汽车整车,-1038193408.0,2026-01-07
BK1041,医疗器械,-1124225024.0,2026-01-07
BK0727,医疗服务,-1159949760.0,2026-01-07
BK0545,通用设备,-1162148864.0,2026-01-07
BK1032,风电设备,-1207260416.0,2026-01-07
BK0459,电子元件,-1266358272.0,2026-01-07
BK0486,文化传媒,-1560376832.0,2026-01-07
BK0736,通信服务,-1735188224.0,2026-01-07
BK0456,家电行业,-1981802496.0,2026-01-07
BK0478,有色金属,-2225807104.0,2026-01-07
BK0735,计算机设备,-2887645184.0,2026-01-07
BK0538,化学制品,-2974442752.0,2026-01-07
BK1033,电池,-3477748992.0,2026-01-07
BK0480,航天航空,-3693311744.0,2026-01-07
BK0473,证券,-3852186368.0,2026-01-07
BK0447,互联网服务,-4742250240.0,2026-01-07
BK1037,消费电子,-5325224960.0,2026-01-07
BK0737,软件开发,-6386505984.0,2026-01-07
BK0481,汽车零部件,-6838421760.0,2026-01-07
