板块代码,板块名称,主力净流入
BK0457,电网设备,1956194048.0
BK1041,医疗器械,1332019456.0
BK0465,化学制药,1115613440.0
BK1015,能源金属,983728128.0
BK1044,生物制品,909051600.0
BK1046,游戏,886187264.0
BK0727,医疗服务,842233856.0
BK1042,医药商业,527928960.0
BK0475,银行,484486656.0
BK0732,贵金属,475257616.0
