板块代码,板块名称,主力净流入,日期
BK0480,航天航空,4652936192.0,2026-01-08
BK0729,船舶制造,2355212448.0,2026-01-08
BK0447,互联网服务,1478685184.0,2026-01-08
BK0910,专用设备,1389702400.0,2026-01-08
BK1031,光伏设备,1049027840.0,2026-01-08
BK1034,电源设备,1040592224.0,2026-01-08
BK0545,通用设备,816109568.0,2026-01-08
BK0429,交运设备,770763440.0,2026-01-08
BK0481,汽车零部件,713727232.0,2026-01-08
BK0733,包装材料,547612240.0,2026-01-08
BK1041,医疗器械,526819952.0,2026-01-08
BK0726,工程咨询服务,464155264.0,2026-01-08
BK0735,计算机设备,343995648.0,2026-01-08
BK0425,工程建设,343323552.0,2026-01-08
BK0730,农药兽药,317566944.0,2026-01-08
BK1043,专业服务,281443984.0,2026-01-08
BK1046,游戏,247957472.0,2026-01-08
BK0546,玻璃玻纤,219911792.0,2026-01-08
BK0740,教育,211908640.0,2026-01-08
BK0424,水泥建材,195466528.0,2026-01-08
BK1045,房地产服务,171651836.0,2026-01-08
BK0476,装修建材,160516816.0,2026-01-08
BK1017,采掘行业,143544784.0,2026-01-08
BK0725,装修装饰,116286272.0,2026-01-08
BK1044,生物制品,24192816.0,2026-01-08
BK0734,珠宝首饰,18632931.0,2026-01-08
BK1038,光学光电子,4675840.0,2026-01-08
BK0458,仪器仪表,2501024.0,2026-01-08
BK0486,文化传媒,1667328.0,2026-01-08
BK0739,工程机械,-15550672.0,2026-01-08
BK1018,橡胶制品,-32912416.0,2026-01-08
BK0727,医疗服务,-37965408.0,2026-01-08
BK1035,美容护理,-51168236.0,2026-01-08
BK0484,贸易行业,-51947264.0,2026-01-08
BK0437,煤炭行业,-55202896.0,2026-01-08
BK1028,燃气,-65753296.0,2026-01-08
BK0427,公用事业,-98799171.0,2026-01-08
BK0440,家用轻工,-112969113.0,2026-01-08
BK0421,铁路公路,-119487072.0,2026-01-08
BK1016,汽车服务,-119871501.0,2026-01-08
BK0465,化学制药,-135543888.0,2026-01-08
BK0738,多元金融,-141078336.0,2026-01-08
BK0470,造纸印刷,-152979616.0,2026-01-08
BK1042,医药商业,-163601136.0,2026-01-08
BK0479,钢铁行业,-188792448.0,2026-01-08
BK0451,房地产开发,-224236800.0,2026-01-08
BK0450,航运港口,-231333408.0,2026-01-08
BK0471,化纤行业,-258032704.0,2026-01-08
BK0737,软件开发,-302456576.0,2026-01-08
BK0420,航空机场,-305975712.0,2026-01-08
BK0436,纺织服装,-325380640.0,2026-01-08
BK0428,电力行业,-353806464.0,2026-01-08
BK0438,食品饮料,-360348208.0,2026-01-08
BK0464,石油行业,-370562768.0,2026-01-08
BK1032,风电设备,-371180288.0,2026-01-08
BK0539,综合行业,-382015024.0,2026-01-08
BK0728,环保行业,-411324832.0,2026-01-08
BK1040,中药,-513038240.0,2026-01-08
BK1030,电机,-561703824.0,2026-01-08
BK0736,通信服务,-574387200.0,2026-01-08
BK0422,物流行业,-611180464.0,2026-01-08
BK0477,酿酒行业,-716537360.0,2026-01-08
BK0454,塑料制品,-739343040.0,2026-01-08
BK0485,旅游酒店,-770837952.0,2026-01-08
BK1019,化学原料,-789790352.0,2026-01-08
BK0482,商业百货,-802068112.0,2026-01-08
BK0433,农牧饲渔,-816327680.0,2026-01-08
BK0732,贵金属,-856667008.0,2026-01-08
BK1029,汽车整车,-871866240.0,2026-01-08
BK0731,化肥行业,-943733840.0,2026-01-08
BK0456,家电行业,-999074336.0,2026-01-08
BK1020,非金属材料,-1004825088.0,2026-01-08
BK0457,电网设备,-1254272512.0,2026-01-08
BK0475,银行,-1421277440.0,2026-01-08
BK1033,电池,-1893274624.0,2026-01-08
BK0474,保险,-2109148672.0,2026-01-08
BK1039,电子化学品,-3337977856.0,2026-01-08
BK0538,化学制品,-3435897856.0,2026-01-08
BK1015,能源金属,-3588899072.0,2026-01-08
BK1027,小金属,-3639166976.0,2026-01-08
BK0478,有色金属,-4489041920.0,2026-01-08
BK1037,消费电子,-4633906944.0,2026-01-08
BK0459,电子元件,-4703329792.0,2026-01-08
BK0473,证券,-5333941504.0,2026-01-08
BK1036,半导体,-5736871424.0,2026-01-08
BK0448,通信设备,-9504845824.0,2026-01-08
