板块代码,板块名称,主力净流入
BK1033,电池,3444104960.0
BK0538,化学制品,2251477760.0
BK1015,能源金属,992034816.0
BK0910,专用设备,931215360.0
BK1034,电源设备,624572032.0
BK0732,贵金属,540613376.0
BK0546,玻璃玻纤,413176496.0
BK1043,专业服务,300366992.0
BK0454,塑料制品,246319776.0
BK1032,风电设备,187809440.0
