板块代码,板块名称,主力净流入
BK0473,证券,3972817920.0
BK1038,光学光电子,3183000064.0
BK1027,小金属,2591482368.0
BK1015,能源金属,2276282624.0
BK0481,汽车零部件,1802142464.0
BK0480,航天航空,1780535808.0
BK0478,有色金属,1771410176.0
BK1019,化学原料,1239945840.0
BK0737,软件开发,1228325120.0
BK1032,风电设备,1109591808.0
