板块代码,板块名称,主力净流入,日期
BK0480,航天航空,2869718272.0,2025-12-25
BK0481,汽车零部件,2793417728.0,2025-12-25
BK0545,通用设备,2368139264.0,2025-12-25
BK1030,电机,1031025344.0,2025-12-25
BK0477,酿酒行业,914001392.0,2025-12-25
BK1032,风电设备,736879472.0,2025-12-25
BK1031,光伏设备,596852736.0,2025-12-25
BK0733,包装材料,569058816.0,2025-12-25
BK1038,光学光电子,344261376.0,2025-12-25
BK0484,贸易行业,324181936.0,2025-12-25
BK0451,房地产开发,290939376.0,2025-12-25
BK0474,保险,286854096.0,2025-12-25
BK0458,仪器仪表,236202416.0,2025-12-25
BK0436,纺织服装,109209104.0,2025-12-25
BK1041,医疗器械,81262608.0,2025-12-25
BK0725,装修装饰,67683568.0,2025-12-25
BK0456,家电行业,39714720.0,2025-12-25
BK1028,燃气,31719488.0,2025-12-25
BK0726,工程咨询服务,15980898.0,2025-12-25
BK0479,钢铁行业,14858224.0,2025-12-25
BK1043,专业服务,369056.0,2025-12-25
BK0730,农药兽药,-8736240.0,2025-12-25
BK0470,造纸印刷,-14979808.0,2025-12-25
BK0729,船舶制造,-22797552.0,2025-12-25
BK0427,公用事业,-30766142.0,2025-12-25
BK0447,互联网服务,-33388544.0,2025-12-25
BK0421,铁路公路,-43360496.0,2025-12-25
BK0471,化纤行业,-45162576.0,2025-12-25
BK1017,采掘行业,-51722000.0,2025-12-25
BK1016,汽车服务,-58846844.0,2025-12-25
BK0422,物流行业,-63077760.0,2025-12-25
BK0727,医疗服务,-65340032.0,2025-12-25
BK0429,交运设备,-73254864.0,2025-12-25
BK0734,珠宝首饰,-77859626.0,2025-12-25
BK0454,塑料制品,-83309984.0,2025-12-25
BK1039,电子化学品,-83838768.0,2025-12-25
BK1045,房地产服务,-99978974.0,2025-12-25
BK0740,教育,-118028672.0,2025-12-25
BK0424,水泥建材,-122458912.0,2025-12-25
BK1019,化学原料,-133390144.0,2025-12-25
BK0425,工程建设,-148738752.0,2025-12-25
BK1035,美容护理,-153257145.0,2025-12-25
BK0476,装修建材,-154568192.0,2025-12-25
BK0738,多元金融,-161209376.0,2025-12-25
BK1018,橡胶制品,-179729264.0,2025-12-25
BK0440,家用轻工,-189256656.0,2025-12-25
BK1046,游戏,-189836256.0,2025-12-25
BK1040,中药,-192263456.0,2025-12-25
BK0737,软件开发,-211406336.0,2025-12-25
BK0731,化肥行业,-231186096.0,2025-12-25
BK0739,工程机械,-239724208.0,2025-12-25
BK0433,农牧饲渔,-247106208.0,2025-12-25
BK0736,通信服务,-295779280.0,2025-12-25
BK0539,综合行业,-309595936.0,2025-12-25
BK0450,航运港口,-344046672.0,2025-12-25
BK0437,煤炭行业,-344920560.0,2025-12-25
BK1042,医药商业,-355457232.0,2025-12-25
BK1020,非金属材料,-358640960.0,2025-12-25
BK0464,石油行业,-472795712.0,2025-12-25
BK0732,贵金属,-534123088.0,2025-12-25
BK0486,文化传媒,-535238048.0,2025-12-25
BK0728,环保行业,-545293824.0,2025-12-25
BK0438,食品饮料,-589164720.0,2025-12-25
BK0428,电力行业,-608815216.0,2025-12-25
BK1044,生物制品,-620079696.0,2025-12-25
BK0420,航空机场,-637815008.0,2025-12-25
BK1029,汽车整车,-641652080.0,2025-12-25
BK0473,证券,-689382144.0,2025-12-25
BK1027,小金属,-689572864.0,2025-12-25
BK1033,电池,-741062144.0,2025-12-25
BK0475,银行,-759943936.0,2025-12-25
BK1037,消费电子,-765107200.0,2025-12-25
BK0457,电网设备,-820193024.0,2025-12-25
BK0485,旅游酒店,-821132688.0,2025-12-25
BK0465,化学制药,-834368208.0,2025-12-25
BK0910,专用设备,-931736064.0,2025-12-25
BK0538,化学制品,-995698576.0,2025-12-25
BK0735,计算机设备,-1168971248.0,2025-12-25
BK1034,电源设备,-1216553456.0,2025-12-25
BK0546,玻璃玻纤,-1342748160.0,2025-12-25
BK1015,能源金属,-1416926848.0,2025-12-25
BK0478,有色金属,-1551874048.0,2025-12-25
BK1036,半导体,-2063624448.0,2025-12-25
BK0482,商业百货,-2193998512.0,2025-12-25
BK0448,通信设备,-3636510208.0,2025-12-25
BK0459,电子元件,-3870159104.0,2025-12-25
