板块代码,板块名称,主力净流入,日期
BK1036,半导体,14278501120.0,2026-01-16
BK1037,消费电子,5397739776.0,2026-01-16
BK0459,电子元件,2984031744.0,2026-01-16
BK1031,光伏设备,2782566656.0,2026-01-16
BK0481,汽车零部件,2755128576.0,2026-01-16
BK0425,工程建设,2088580352.0,2026-01-16
BK0545,通用设备,1650710016.0,2026-01-16
BK1038,光学光电子,1596568576.0,2026-01-16
BK0456,家电行业,1139155968.0,2026-01-16
BK1030,电机,1094138016.0,2026-01-16
BK0451,房地产开发,769148080.0,2026-01-16
BK0910,专用设备,434403840.0,2026-01-16
BK1043,专业服务,428649440.0,2026-01-16
BK0739,工程机械,401586464.0,2026-01-16
BK1027,小金属,342259968.0,2026-01-16
BK0458,仪器仪表,298255088.0,2026-01-16
BK1018,橡胶制品,230171808.0,2026-01-16
BK0427,公用事业,125057107.0,2026-01-16
BK0725,装修装饰,124826768.0,2026-01-16
BK0454,塑料制品,105134080.0,2026-01-16
BK0424,水泥建材,89327392.0,2026-01-16
BK0484,贸易行业,59467952.0,2026-01-16
BK0726,工程咨询服务,6887120.0,2026-01-16
BK0421,铁路公路,-14458560.0,2026-01-16
BK1016,汽车服务,-36211237.0,2026-01-16
BK0730,农药兽药,-45028304.0,2026-01-16
BK0471,化纤行业,-45259584.0,2026-01-16
BK0470,造纸印刷,-83118272.0,2026-01-16
BK0546,玻璃玻纤,-127557072.0,2026-01-16
BK0734,珠宝首饰,-135511163.0,2026-01-16
BK0476,装修建材,-190714272.0,2026-01-16
BK1035,美容护理,-223173896.0,2026-01-16
BK1045,房地产服务,-227489423.0,2026-01-16
BK0437,煤炭行业,-241549504.0,2026-01-16
BK0440,家用轻工,-243795296.0,2026-01-16
BK0436,纺织服装,-263257296.0,2026-01-16
BK1032,风电设备,-292515600.0,2026-01-16
BK0728,环保行业,-294774784.0,2026-01-16
BK1040,中药,-297566416.0,2026-01-16
BK0429,交运设备,-323828064.0,2026-01-16
BK1028,燃气,-324108288.0,2026-01-16
BK1020,非金属材料,-367134720.0,2026-01-16
BK0422,物流行业,-371880480.0,2026-01-16
BK0464,石油行业,-377060080.0,2026-01-16
BK1029,汽车整车,-395231280.0,2026-01-16
BK0738,多元金融,-444033696.0,2026-01-16
BK0538,化学制品,-462140416.0,2026-01-16
BK0733,包装材料,-465484192.0,2026-01-16
BK0420,航空机场,-482908320.0,2026-01-16
BK1034,电源设备,-487528368.0,2026-01-16
BK0474,保险,-546998544.0,2026-01-16
BK1039,电子化学品,-547979840.0,2026-01-16
BK0438,食品饮料,-551755760.0,2026-01-16
BK0740,教育,-580446864.0,2026-01-16
BK0475,银行,-590592512.0,2026-01-16
BK0731,化肥行业,-594511376.0,2026-01-16
BK0450,航运港口,-631524592.0,2026-01-16
BK0539,综合行业,-641716960.0,2026-01-16
BK1017,采掘行业,-643809264.0,2026-01-16
BK1019,化学原料,-763519376.0,2026-01-16
BK1042,医药商业,-778111808.0,2026-01-16
BK0729,船舶制造,-799393904.0,2026-01-16
BK1044,生物制品,-821901680.0,2026-01-16
BK0477,酿酒行业,-880700640.0,2026-01-16
BK0732,贵金属,-952298848.0,2026-01-16
BK0473,证券,-996384000.0,2026-01-16
BK0735,计算机设备,-1097401872.0,2026-01-16
BK0485,旅游酒店,-1161380224.0,2026-01-16
BK0479,钢铁行业,-1163847536.0,2026-01-16
BK0465,化学制药,-1186488080.0,2026-01-16
BK0482,商业百货,-1238653600.0,2026-01-16
BK0433,农牧饲渔,-1256001008.0,2026-01-16
BK0428,电力行业,-1552594176.0,2026-01-16
BK1041,医疗器械,-1693729296.0,2026-01-16
BK0736,通信服务,-2176246304.0,2026-01-16
BK1046,游戏,-2269369376.0,2026-01-16
BK0727,医疗服务,-2371243776.0,2026-01-16
BK1033,电池,-2472111872.0,2026-01-16
BK1015,能源金属,-2990769664.0,2026-01-16
BK0457,电网设备,-3586980864.0,2026-01-16
BK0480,航天航空,-3629223936.0,2026-01-16
BK0448,通信设备,-4046148352.0,2026-01-16
BK0478,有色金属,-5372238848.0,2026-01-16
BK0486,文化传媒,-6488133888.0,2026-01-16
BK0737,软件开发,-9073443072.0,2026-01-16
BK0447,互联网服务,-14737690880.0,2026-01-16
