板块代码,板块名称,主力净流入,日期
BK1031,光伏设备,4282026240.0,2025-12-26
BK1033,电池,4022735360.0,2025-12-26
BK0478,有色金属,2311892736.0,2025-12-26
BK0538,化学制品,2110034944.0,2025-12-26
BK1029,汽车整车,1389630176.0,2025-12-26
BK1020,非金属材料,956878288.0,2025-12-26
BK1015,能源金属,716193792.0,2025-12-26
BK0736,通信服务,521611952.0,2025-12-26
BK0464,石油行业,275834752.0,2025-12-26
BK0725,装修装饰,212499568.0,2025-12-26
BK0479,钢铁行业,196715136.0,2025-12-26
BK0726,工程咨询服务,169883696.0,2025-12-26
BK0731,化肥行业,161461968.0,2025-12-26
BK0421,铁路公路,160586864.0,2025-12-26
BK0732,贵金属,153717040.0,2025-12-26
BK0428,电力行业,120296592.0,2025-12-26
BK0728,环保行业,116868880.0,2025-12-26
BK0433,农牧饲渔,99201008.0,2025-12-26
BK0737,软件开发,71863296.0,2025-12-26
BK0485,旅游酒店,51933968.0,2025-12-26
BK0427,公用事业,990988.0,2025-12-26
BK1019,化学原料,-12117584.0,2025-12-26
BK1016,汽车服务,-32133203.0,2025-12-26
BK1017,采掘行业,-33654144.0,2025-12-26
BK0734,珠宝首饰,-40608429.0,2025-12-26
BK0476,装修建材,-50966800.0,2025-12-26
BK0436,纺织服装,-53889488.0,2025-12-26
BK1043,专业服务,-55112112.0,2025-12-26
BK0474,保险,-64314656.0,2025-12-26
BK1045,房地产服务,-74535495.0,2025-12-26
BK0730,农药兽药,-76975312.0,2025-12-26
BK0437,煤炭行业,-78785824.0,2025-12-26
BK0484,贸易行业,-83876576.0,2025-12-26
BK0440,家用轻工,-86380576.0,2025-12-26
BK1028,燃气,-94268944.0,2025-12-26
BK1035,美容护理,-125858303.0,2025-12-26
BK0738,多元金融,-149767328.0,2025-12-26
BK0471,化纤行业,-150893856.0,2025-12-26
BK0739,工程机械,-157962480.0,2025-12-26
BK1044,生物制品,-161563920.0,2025-12-26
BK0450,航运港口,-171266096.0,2025-12-26
BK0740,教育,-171808496.0,2025-12-26
BK1042,医药商业,-174614480.0,2025-12-26
BK0475,银行,-188213248.0,2025-12-26
BK0420,航空机场,-188460864.0,2025-12-26
BK1040,中药,-189371632.0,2025-12-26
BK0447,互联网服务,-197939712.0,2025-12-26
BK0429,交运设备,-234323840.0,2025-12-26
BK0539,综合行业,-253863376.0,2025-12-26
BK0424,水泥建材,-310035072.0,2025-12-26
BK0425,工程建设,-332922288.0,2025-12-26
BK0451,房地产开发,-400911328.0,2025-12-26
BK0458,仪器仪表,-405663904.0,2025-12-26
BK1018,橡胶制品,-417509632.0,2025-12-26
BK0486,文化传媒,-463746816.0,2025-12-26
BK0729,船舶制造,-470583888.0,2025-12-26
BK0733,包装材料,-486545328.0,2025-12-26
BK0438,食品饮料,-492853008.0,2025-12-26
BK0457,电网设备,-498733312.0,2025-12-26
BK1034,电源设备,-502263872.0,2025-12-26
BK0477,酿酒行业,-507301936.0,2025-12-26
BK0473,证券,-518721280.0,2025-12-26
BK1041,医疗器械,-580431680.0,2025-12-26
BK1027,小金属,-583689984.0,2025-12-26
BK1030,电机,-702546496.0,2025-12-26
BK0454,塑料制品,-768168368.0,2025-12-26
BK0470,造纸印刷,-782688128.0,2025-12-26
BK0727,医疗服务,-786393552.0,2025-12-26
BK0422,物流行业,-939282448.0,2025-12-26
BK1032,风电设备,-943560912.0,2025-12-26
BK1046,游戏,-970298352.0,2025-12-26
BK0735,计算机设备,-1098307776.0,2025-12-26
BK0482,商业百货,-1099907136.0,2025-12-26
BK0465,化学制药,-1172139392.0,2025-12-26
BK0546,玻璃玻纤,-1182738608.0,2025-12-26
BK0459,电子元件,-1301391360.0,2025-12-26
BK0545,通用设备,-1378932992.0,2025-12-26
BK1039,电子化学品,-1526117152.0,2025-12-26
BK0456,家电行业,-1580259584.0,2025-12-26
BK1038,光学光电子,-1966939920.0,2025-12-26
BK0448,通信设备,-2970947328.0,2025-12-26
BK0480,航天航空,-3912843008.0,2025-12-26
BK1037,消费电子,-4196462592.0,2025-12-26
BK0910,专用设备,-4211552768.0,2025-12-26
BK0481,汽车零部件,-4441475584.0,2025-12-26
BK1036,半导体,-6441058304.0,2025-12-26
