板块代码,板块名称,主力净流入,日期
BK0473,证券,3972817920.0,2026-01-06
BK1038,光学光电子,3183000064.0,2026-01-06
BK1027,小金属,2591482368.0,2026-01-06
BK1015,能源金属,2276282624.0,2026-01-06
BK0481,汽车零部件,1802142464.0,2026-01-06
BK0480,航天航空,1780535808.0,2026-01-06
BK0478,有色金属,1771410176.0,2026-01-06
BK1019,化学原料,1239945840.0,2026-01-06
BK0737,软件开发,1228325120.0,2026-01-06
BK1032,风电设备,1109591808.0,2026-01-06
BK1029,汽车整车,936938544.0,2026-01-06
BK0735,计算机设备,915406592.0,2026-01-06
BK0457,电网设备,730117888.0,2026-01-06
BK0479,钢铁行业,694863744.0,2026-01-06
BK0464,石油行业,643057136.0,2026-01-06
BK1043,专业服务,582123840.0,2026-01-06
BK0429,交运设备,517568048.0,2026-01-06
BK0421,铁路公路,464161728.0,2026-01-06
BK0437,煤炭行业,429291680.0,2026-01-06
BK0485,旅游酒店,391224192.0,2026-01-06
BK0475,银行,387826944.0,2026-01-06
BK0425,工程建设,300101824.0,2026-01-06
BK0725,装修装饰,279517648.0,2026-01-06
BK1034,电源设备,243820272.0,2026-01-06
BK0474,保险,226679040.0,2026-01-06
BK0438,食品饮料,219011440.0,2026-01-06
BK0428,电力行业,163336496.0,2026-01-06
BK0539,综合行业,144791552.0,2026-01-06
BK1017,采掘行业,131898144.0,2026-01-06
BK0451,房地产开发,98155888.0,2026-01-06
BK1016,汽车服务,95600144.0,2026-01-06
BK1039,电子化学品,88564000.0,2026-01-06
BK0730,农药兽药,86250144.0,2026-01-06
BK0471,化纤行业,74511376.0,2026-01-06
BK0470,造纸印刷,48377344.0,2026-01-06
BK0727,医疗服务,33089520.0,2026-01-06
BK0436,纺织服装,30010736.0,2026-01-06
BK0738,多元金融,26039728.0,2026-01-06
BK0729,船舶制造,21075728.0,2026-01-06
BK0427,公用事业,20695280.0,2026-01-06
BK1028,燃气,-17821344.0,2026-01-06
BK0424,水泥建材,-19190544.0,2026-01-06
BK1040,中药,-23049296.0,2026-01-06
BK0734,珠宝首饰,-31530924.0,2026-01-06
BK0450,航运港口,-34453024.0,2026-01-06
BK1018,橡胶制品,-43221616.0,2026-01-06
BK0477,酿酒行业,-59573808.0,2026-01-06
BK0731,化肥行业,-61550368.0,2026-01-06
BK0476,装修建材,-76979440.0,2026-01-06
BK1045,房地产服务,-102747744.0,2026-01-06
BK0726,工程咨询服务,-113555472.0,2026-01-06
BK1042,医药商业,-117255904.0,2026-01-06
BK1035,美容护理,-119084208.0,2026-01-06
BK0740,教育,-122346256.0,2026-01-06
BK0440,家用轻工,-127968368.0,2026-01-06
BK0482,商业百货,-129110400.0,2026-01-06
BK0420,航空机场,-184243728.0,2026-01-06
BK0484,贸易行业,-195693808.0,2026-01-06
BK0538,化学制品,-257716992.0,2026-01-06
BK0733,包装材料,-302274640.0,2026-01-06
BK0732,贵金属,-328533104.0,2026-01-06
BK0728,环保行业,-339346992.0,2026-01-06
BK0739,工程机械,-374823920.0,2026-01-06
BK0433,农牧饲渔,-413627120.0,2026-01-06
BK0447,互联网服务,-440624128.0,2026-01-06
BK0422,物流行业,-487665104.0,2026-01-06
BK1036,半导体,-557745920.0,2026-01-06
BK1020,非金属材料,-594242560.0,2026-01-06
BK0458,仪器仪表,-620778608.0,2026-01-06
BK1030,电机,-628367328.0,2026-01-06
BK0545,通用设备,-670266880.0,2026-01-06
BK1044,生物制品,-673667680.0,2026-01-06
BK0546,玻璃玻纤,-714136624.0,2026-01-06
BK0454,塑料制品,-771912576.0,2026-01-06
BK0456,家电行业,-844415488.0,2026-01-06
BK0465,化学制药,-873378928.0,2026-01-06
BK1031,光伏设备,-1084301056.0,2026-01-06
BK1046,游戏,-1154790480.0,2026-01-06
BK0459,电子元件,-1220657664.0,2026-01-06
BK1033,电池,-1247165696.0,2026-01-06
BK1041,医疗器械,-1409871760.0,2026-01-06
BK0736,通信服务,-1477306368.0,2026-01-06
BK0910,专用设备,-2034230528.0,2026-01-06
BK1037,消费电子,-2309180416.0,2026-01-06
BK0486,文化传媒,-2904083200.0,2026-01-06
BK0448,通信设备,-11563252480.0,2026-01-06
