板块代码,板块名称,主力净流入
BK0480,航天航空,4652936192.0
BK0729,船舶制造,2355212448.0
BK0447,互联网服务,1478685184.0
BK0910,专用设备,1389702400.0
BK1031,光伏设备,1049027840.0
BK1034,电源设备,1040592224.0
BK0545,通用设备,816109568.0
BK0429,交运设备,770763440.0
BK0481,汽车零部件,713727232.0
BK0733,包装材料,547612240.0
