板块代码,板块名称,主力净流入
BK0448,通信设备,4569131776.0
BK0459,电子元件,2971867392.0
BK1015,能源金属,2083477184.0
BK1037,消费电子,1877252864.0
BK0473,证券,1544618752.0
BK1033,电池,1228114176.0
BK1036,半导体,1137980160.0
BK0910,专用设备,1117145856.0
BK0538,化学制品,1081795344.0
BK1031,光伏设备,1008593408.0
