板块代码,板块名称,主力净流入,日期
BK0486,文化传媒,5607944448.0,2026-01-09
BK0447,互联网服务,4306383104.0,2026-01-09
BK1027,小金属,3456120576.0,2026-01-09
BK0737,软件开发,1865889792.0,2026-01-09
BK1046,游戏,1324182096.0,2026-01-09
BK0456,家电行业,1313409792.0,2026-01-09
BK0478,有色金属,997206528.0,2026-01-09
BK0482,商业百货,910472576.0,2026-01-09
BK0736,通信服务,822831616.0,2026-01-09
BK1034,电源设备,677628672.0,2026-01-09
BK0732,贵金属,370931696.0,2026-01-09
BK0464,石油行业,320022784.0,2026-01-09
BK0727,医疗服务,263384064.0,2026-01-09
BK0739,工程机械,242837472.0,2026-01-09
BK0740,教育,202109088.0,2026-01-09
BK1044,生物制品,171453776.0,2026-01-09
BK0725,装修装饰,115675168.0,2026-01-09
BK0539,综合行业,113250544.0,2026-01-09
BK1017,采掘行业,110595248.0,2026-01-09
BK1019,化学原料,47653264.0,2026-01-09
BK1016,汽车服务,37610493.0,2026-01-09
BK0479,钢铁行业,31770304.0,2026-01-09
BK0458,仪器仪表,29600688.0,2026-01-09
BK1035,美容护理,19428224.0,2026-01-09
BK0726,工程咨询服务,9997584.0,2026-01-09
BK0738,多元金融,9389680.0,2026-01-09
BK1038,光学光电子,-10280704.0,2026-01-09
BK0485,旅游酒店,-27055264.0,2026-01-09
BK0734,珠宝首饰,-37845208.0,2026-01-09
BK0436,纺织服装,-45615936.0,2026-01-09
BK1028,燃气,-51203520.0,2026-01-09
BK0440,家用轻工,-53403664.0,2026-01-09
BK0470,造纸印刷,-64937744.0,2026-01-09
BK0735,计算机设备,-74362368.0,2026-01-09
BK1040,中药,-122304352.0,2026-01-09
BK0733,包装材料,-125049376.0,2026-01-09
BK0427,公用事业,-130281189.0,2026-01-09
BK0424,水泥建材,-142226048.0,2026-01-09
BK0484,贸易行业,-152080944.0,2026-01-09
BK1043,专业服务,-166691088.0,2026-01-09
BK0421,铁路公路,-172703168.0,2026-01-09
BK0477,酿酒行业,-181331344.0,2026-01-09
BK1032,风电设备,-185158144.0,2026-01-09
BK0438,食品饮料,-192748688.0,2026-01-09
BK0476,装修建材,-203323040.0,2026-01-09
BK1045,房地产服务,-214882818.0,2026-01-09
BK1030,电机,-218210016.0,2026-01-09
BK0728,环保行业,-238497968.0,2026-01-09
BK1029,汽车整车,-260167936.0,2026-01-09
BK1020,非金属材料,-282663296.0,2026-01-09
BK0450,航运港口,-325566048.0,2026-01-09
BK0429,交运设备,-340498880.0,2026-01-09
BK1042,医药商业,-346946544.0,2026-01-09
BK0730,农药兽药,-386675120.0,2026-01-09
BK0420,航空机场,-430132480.0,2026-01-09
BK0433,农牧饲渔,-439432192.0,2026-01-09
BK0437,煤炭行业,-442658816.0,2026-01-09
BK0731,化肥行业,-471355904.0,2026-01-09
BK0422,物流行业,-478301280.0,2026-01-09
BK1018,橡胶制品,-509757216.0,2026-01-09
BK0451,房地产开发,-510338416.0,2026-01-09
BK0471,化纤行业,-551612048.0,2026-01-09
BK0546,玻璃玻纤,-560742832.0,2026-01-09
BK0465,化学制药,-565976832.0,2026-01-09
BK0454,塑料制品,-598667776.0,2026-01-09
BK1041,医疗器械,-647371808.0,2026-01-09
BK0425,工程建设,-727446000.0,2026-01-09
BK1033,电池,-785516800.0,2026-01-09
BK0480,航天航空,-830753536.0,2026-01-09
BK1039,电子化学品,-976608368.0,2026-01-09
BK1015,能源金属,-1005014128.0,2026-01-09
BK0475,银行,-1067819520.0,2026-01-09
BK0428,电力行业,-1142222288.0,2026-01-09
BK0729,船舶制造,-1346336512.0,2026-01-09
BK0473,证券,-1600258816.0,2026-01-09
BK0910,专用设备,-1671657216.0,2026-01-09
BK0538,化学制品,-1875901696.0,2026-01-09
BK0545,通用设备,-1885848064.0,2026-01-09
BK0457,电网设备,-2449302528.0,2026-01-09
BK0481,汽车零部件,-2562370048.0,2026-01-09
BK1037,消费电子,-2785481728.0,2026-01-09
BK0474,保险,-3417451264.0,2026-01-09
BK0459,电子元件,-3867843072.0,2026-01-09
BK1036,半导体,-4640491008.0,2026-01-09
BK1031,光伏设备,-5987049472.0,2026-01-09
BK0448,通信设备,-6057142272.0,2026-01-09
