板块代码,板块名称,主力净流入
BK0481,汽车零部件,4262112256.0
BK0456,家电行业,1831624448.0
BK0545,通用设备,1804843776.0
BK0486,文化传媒,1515052704.0
BK1037,消费电子,1463275776.0
BK1030,电机,935073888.0
BK0910,专用设备,774367488.0
BK0436,纺织服装,695136640.0
BK0739,工程机械,664687488.0
BK0464,石油行业,589849088.0
