板块代码,板块名称,主力净流入
BK0448,通信设备,8505246976.0
BK0459,电子元件,3079549440.0
BK1037,消费电子,2622961920.0
BK1030,电机,2471522304.0
BK1036,半导体,1844709376.0
BK0454,塑料制品,1087077248.0
BK0478,有色金属,807752704.0
BK0732,贵金属,690010032.0
BK0485,旅游酒店,605428768.0
BK1029,汽车整车,496908288.0
