板块代码,板块名称,主力净流入,日期
BK1033,电池,3444104960.0,2025-12-23
BK0538,化学制品,2251477760.0,2025-12-23
BK1015,能源金属,992034816.0,2025-12-23
BK0910,专用设备,931215360.0,2025-12-23
BK1034,电源设备,624572032.0,2025-12-23
BK0732,贵金属,540613376.0,2025-12-23
BK0546,玻璃玻纤,413176496.0,2025-12-23
BK1043,专业服务,300366992.0,2025-12-23
BK0454,塑料制品,246319776.0,2025-12-23
BK1032,风电设备,187809440.0,2025-12-23
BK0457,电网设备,160769536.0,2025-12-23
BK0731,化肥行业,137647872.0,2025-12-23
BK0424,水泥建材,94071424.0,2025-12-23
BK0425,工程建设,61442400.0,2025-12-23
BK0734,珠宝首饰,23144647.0,2025-12-23
BK1046,游戏,22856864.0,2025-12-23
BK0739,工程机械,21772592.0,2025-12-23
BK0726,工程咨询服务,-57326851.0,2025-12-23
BK0476,装修建材,-60013392.0,2025-12-23
BK0475,银行,-61253136.0,2025-12-23
BK0470,造纸印刷,-63572000.0,2025-12-23
BK0539,综合行业,-68552336.0,2025-12-23
BK1016,汽车服务,-74384043.0,2025-12-23
BK0740,教育,-94761337.0,2025-12-23
BK1017,采掘行业,-96668864.0,2025-12-23
BK0429,交运设备,-112490064.0,2025-12-23
BK0427,公用事业,-134907264.0,2025-12-23
BK1037,消费电子,-154483200.0,2025-12-23
BK0421,铁路公路,-186968768.0,2025-12-23
BK1040,中药,-203121008.0,2025-12-23
BK0730,农药兽药,-204223344.0,2025-12-23
BK1018,橡胶制品,-210603936.0,2025-12-23
BK0450,航运港口,-222084176.0,2025-12-23
BK0484,贸易行业,-222753568.0,2025-12-23
BK1035,美容护理,-252143298.0,2025-12-23
BK1028,燃气,-265213664.0,2025-12-23
BK1045,房地产服务,-275485666.0,2025-12-23
BK0725,装修装饰,-275559312.0,2025-12-23
BK0729,船舶制造,-298614304.0,2025-12-23
BK1042,医药商业,-306754624.0,2025-12-23
BK0440,家用轻工,-310055743.0,2025-12-23
BK0479,钢铁行业,-315011536.0,2025-12-23
BK0437,煤炭行业,-315501952.0,2025-12-23
BK0464,石油行业,-319110096.0,2025-12-23
BK0428,电力行业,-390112080.0,2025-12-23
BK0738,多元金融,-412018576.0,2025-12-23
BK0474,保险,-418634624.0,2025-12-23
BK0458,仪器仪表,-436135328.0,2025-12-23
BK1019,化学原料,-443436272.0,2025-12-23
BK0728,环保行业,-444697792.0,2025-12-23
BK0422,物流行业,-456824560.0,2025-12-23
BK0436,纺织服装,-499719664.0,2025-12-23
BK1020,非金属材料,-539160272.0,2025-12-23
BK1041,医疗器械,-549548576.0,2025-12-23
BK0471,化纤行业,-551688672.0,2025-12-23
BK1044,生物制品,-583386144.0,2025-12-23
BK1039,电子化学品,-641529968.0,2025-12-23
BK0451,房地产开发,-681899968.0,2025-12-23
BK1038,光学光电子,-691556048.0,2025-12-23
BK1027,小金属,-730638080.0,2025-12-23
BK0438,食品饮料,-745245024.0,2025-12-23
BK0465,化学制药,-754003136.0,2025-12-23
BK0727,医疗服务,-767212912.0,2025-12-23
BK0733,包装材料,-786589200.0,2025-12-23
BK0477,酿酒行业,-820091520.0,2025-12-23
BK0486,文化传媒,-1169483520.0,2025-12-23
BK1031,光伏设备,-1189268224.0,2025-12-23
BK1030,电机,-1279082000.0,2025-12-23
BK0459,电子元件,-1297364736.0,2025-12-23
BK0735,计算机设备,-1326504944.0,2025-12-23
BK0456,家电行业,-1355859888.0,2025-12-23
BK0473,证券,-1418583888.0,2025-12-23
BK0420,航空机场,-1516652400.0,2025-12-23
BK0736,通信服务,-1624112944.0,2025-12-23
BK0433,农牧饲渔,-1631497248.0,2025-12-23
BK1029,汽车整车,-1732487984.0,2025-12-23
BK0478,有色金属,-1765530368.0,2025-12-23
BK0485,旅游酒店,-2286465968.0,2025-12-23
BK0482,商业百货,-2368694880.0,2025-12-23
BK0737,软件开发,-2435109632.0,2025-12-23
BK0447,互联网服务,-2491776624.0,2025-12-23
BK0545,通用设备,-2708897280.0,2025-12-23
BK1036,半导体,-3223556352.0,2025-12-23
BK0481,汽车零部件,-4016191232.0,2025-12-23
BK0480,航天航空,-4246406912.0,2025-12-23
BK0448,通信设备,-7516173312.0,2025-12-23
