板块代码,板块名称,主力净流入,日期
BK0447,互联网服务,6758879744.0,2026-01-14
BK0737,软件开发,4200545280.0,2026-01-14
BK1019,化学原料,678525504.0,2026-01-14
BK0732,贵金属,238014160.0,2026-01-14
BK0539,综合行业,233943184.0,2026-01-14
BK0470,造纸印刷,147989760.0,2026-01-14
BK0485,旅游酒店,145341760.0,2026-01-14
BK0734,珠宝首饰,130694928.0,2026-01-14
BK1017,采掘行业,117011408.0,2026-01-14
BK0476,装修建材,105125344.0,2026-01-14
BK0484,贸易行业,78898080.0,2026-01-14
BK0735,计算机设备,17976832.0,2026-01-14
BK0440,家用轻工,12571776.0,2026-01-14
BK0726,工程咨询服务,-6438272.0,2026-01-14
BK0427,公用事业,-16545376.0,2026-01-14
BK1016,汽车服务,-40804782.0,2026-01-14
BK0479,钢铁行业,-80569584.0,2026-01-14
BK0725,装修装饰,-120409984.0,2026-01-14
BK0421,铁路公路,-134484864.0,2026-01-14
BK1035,美容护理,-134596464.0,2026-01-14
BK0546,玻璃玻纤,-151380928.0,2026-01-14
BK0739,工程机械,-155599680.0,2026-01-14
BK1045,房地产服务,-159728816.0,2026-01-14
BK0738,多元金融,-160412816.0,2026-01-14
BK1039,电子化学品,-174111744.0,2026-01-14
BK0728,环保行业,-179078608.0,2026-01-14
BK1028,燃气,-198437584.0,2026-01-14
BK1018,橡胶制品,-266419040.0,2026-01-14
BK0729,船舶制造,-268104992.0,2026-01-14
BK0730,农药兽药,-284356496.0,2026-01-14
BK1040,中药,-325173872.0,2026-01-14
BK0471,化纤行业,-364910000.0,2026-01-14
BK0437,煤炭行业,-435179472.0,2026-01-14
BK0464,石油行业,-483424448.0,2026-01-14
BK0429,交运设备,-492065568.0,2026-01-14
BK0731,化肥行业,-506496848.0,2026-01-14
BK1041,医疗器械,-521768960.0,2026-01-14
BK0733,包装材料,-536836384.0,2026-01-14
BK1038,光学光电子,-538668288.0,2026-01-14
BK0436,纺织服装,-618003744.0,2026-01-14
BK1043,专业服务,-637689472.0,2026-01-14
BK0438,食品饮料,-640399360.0,2026-01-14
BK0458,仪器仪表,-682473616.0,2026-01-14
BK0422,物流行业,-770084304.0,2026-01-14
BK1042,医药商业,-774170320.0,2026-01-14
BK1034,电源设备,-793086976.0,2026-01-14
BK0420,航空机场,-818314384.0,2026-01-14
BK1031,光伏设备,-821859584.0,2026-01-14
BK0450,航运港口,-847089920.0,2026-01-14
BK0740,教育,-873151776.0,2026-01-14
BK0474,保险,-959912496.0,2026-01-14
BK0424,水泥建材,-961812288.0,2026-01-14
BK0910,专用设备,-962113536.0,2026-01-14
BK0433,农牧饲渔,-1027242800.0,2026-01-14
BK0473,证券,-1076917760.0,2026-01-14
BK0459,电子元件,-1098344192.0,2026-01-14
BK1033,电池,-1178575616.0,2026-01-14
BK0477,酿酒行业,-1288548352.0,2026-01-14
BK1044,生物制品,-1292633056.0,2026-01-14
BK0451,房地产开发,-1380886528.0,2026-01-14
BK0454,塑料制品,-1419135888.0,2026-01-14
BK1046,游戏,-1420983296.0,2026-01-14
BK0736,通信服务,-1424112384.0,2026-01-14
BK1030,电机,-1518048608.0,2026-01-14
BK0425,工程建设,-1518449152.0,2026-01-14
BK0482,商业百货,-1798578432.0,2026-01-14
BK1020,非金属材料,-1879596848.0,2026-01-14
BK1029,汽车整车,-2034443904.0,2026-01-14
BK0448,通信设备,-2082771968.0,2026-01-14
BK0456,家电行业,-2123127808.0,2026-01-14
BK0465,化学制药,-2216196096.0,2026-01-14
BK0727,医疗服务,-2327475968.0,2026-01-14
BK0428,电力行业,-2347569408.0,2026-01-14
BK0481,汽车零部件,-2549577728.0,2026-01-14
BK0480,航天航空,-2688126976.0,2026-01-14
BK1032,风电设备,-2841197568.0,2026-01-14
BK0538,化学制品,-2851496960.0,2026-01-14
BK1027,小金属,-2896961792.0,2026-01-14
BK0478,有色金属,-2947885824.0,2026-01-14
BK1015,能源金属,-3466949632.0,2026-01-14
BK0486,文化传媒,-4027641088.0,2026-01-14
BK0545,通用设备,-4303490816.0,2026-01-14
BK0475,银行,-4358081024.0,2026-01-14
BK1036,半导体,-4454938624.0,2026-01-14
BK1037,消费电子,-5836489472.0,2026-01-14
BK0457,电网设备,-7130952704.0,2026-01-14
