板块代码,板块名称,主力净流入
BK0437,煤炭行业,2141502656.0
BK1027,小金属,2081515520.0
BK1034,电源设备,1380129840.0
BK1036,半导体,1118544384.0
BK0457,电网设备,989188352.0
BK0448,通信设备,755262976.0
BK0910,专用设备,663956480.0
BK1039,电子化学品,572100864.0
BK0733,包装材料,466673632.0
BK1044,生物制品,414075536.0
