板块代码,板块名称,主力净流入,日期
BK0480,航天航空,4101227008.0,2026-01-01
BK0486,文化传媒,3797777152.0,2026-01-01
BK0447,互联网服务,3215817216.0,2026-01-01
BK0733,包装材料,772414064.0,2026-01-01
BK0475,银行,770260400.0,2026-01-01
BK0485,旅游酒店,705807072.0,2026-01-01
BK1038,光学光电子,635486208.0,2026-01-01
BK0737,软件开发,436860160.0,2026-01-01
BK0726,工程咨询服务,415683024.0,2026-01-01
BK0735,计算机设备,395565568.0,2026-01-01
BK0424,水泥建材,216058384.0,2026-01-01
BK1039,电子化学品,174693360.0,2026-01-01
BK0420,航空机场,171500528.0,2026-01-01
BK0740,教育,78646704.0,2026-01-01
BK0427,公用事业,74169979.0,2026-01-01
BK0734,珠宝首饰,69036502.0,2026-01-01
BK1034,电源设备,45347744.0,2026-01-01
BK1045,房地产服务,26867881.0,2026-01-01
BK1043,专业服务,23782288.0,2026-01-01
BK0479,钢铁行业,6374160.0,2026-01-01
BK1035,美容护理,-15066179.0,2026-01-01
BK0429,交运设备,-21582640.0,2026-01-01
BK0421,铁路公路,-22726736.0,2026-01-01
BK0730,农药兽药,-22874896.0,2026-01-01
BK0731,化肥行业,-36925088.0,2026-01-01
BK1046,游戏,-37140064.0,2026-01-01
BK0451,房地产开发,-37367200.0,2026-01-01
BK1016,汽车服务,-54572891.0,2026-01-01
BK0539,综合行业,-64661392.0,2026-01-01
BK0440,家用轻工,-68828192.0,2026-01-01
BK0725,装修装饰,-71064336.0,2026-01-01
BK0437,煤炭行业,-104077024.0,2026-01-01
BK1017,采掘行业,-159252352.0,2026-01-01
BK0450,航运港口,-168126512.0,2026-01-01
BK0484,贸易行业,-170010944.0,2026-01-01
BK1027,小金属,-197733632.0,2026-01-01
BK0546,玻璃玻纤,-198593760.0,2026-01-01
BK0448,通信设备,-214121984.0,2026-01-01
BK0738,多元金融,-271696784.0,2026-01-01
BK0436,纺织服装,-272106208.0,2026-01-01
BK1018,橡胶制品,-274446944.0,2026-01-01
BK0438,食品饮料,-275906880.0,2026-01-01
BK1028,燃气,-301669056.0,2026-01-01
BK0471,化纤行业,-304735072.0,2026-01-01
BK0729,船舶制造,-306167632.0,2026-01-01
BK1032,风电设备,-324364448.0,2026-01-01
BK0458,仪器仪表,-326148480.0,2026-01-01
BK0736,通信服务,-328532640.0,2026-01-01
BK0422,物流行业,-328876000.0,2026-01-01
BK0476,装修建材,-351510496.0,2026-01-01
BK0425,工程建设,-354203392.0,2026-01-01
BK0464,石油行业,-354570832.0,2026-01-01
BK1040,中药,-397833680.0,2026-01-01
BK1044,生物制品,-398722064.0,2026-01-01
BK0732,贵金属,-431938912.0,2026-01-01
BK0739,工程机械,-494653952.0,2026-01-01
BK0474,保险,-499905632.0,2026-01-01
BK1019,化学原料,-527805104.0,2026-01-01
BK0470,造纸印刷,-534368624.0,2026-01-01
BK0454,塑料制品,-542960144.0,2026-01-01
BK0538,化学制品,-546112976.0,2026-01-01
BK0727,医疗服务,-666968720.0,2026-01-01
BK0465,化学制药,-728869104.0,2026-01-01
BK1020,非金属材料,-733968432.0,2026-01-01
BK1042,医药商业,-783917280.0,2026-01-01
BK0482,商业百货,-833385008.0,2026-01-01
BK0478,有色金属,-889337856.0,2026-01-01
BK1041,医疗器械,-893065040.0,2026-01-01
BK1029,汽车整车,-893277968.0,2026-01-01
BK0473,证券,-980440048.0,2026-01-01
BK1030,电机,-1001912608.0,2026-01-01
BK0428,电力行业,-1141080816.0,2026-01-01
BK0728,环保行业,-1149610784.0,2026-01-01
BK1015,能源金属,-1275856864.0,2026-01-01
BK0456,家电行业,-1384485120.0,2026-01-01
BK0477,酿酒行业,-1611502992.0,2026-01-01
BK0433,农牧饲渔,-1739417248.0,2026-01-01
BK1033,电池,-1990524672.0,2026-01-01
BK0545,通用设备,-2143136000.0,2026-01-01
BK0457,电网设备,-2473738432.0,2026-01-01
BK0481,汽车零部件,-2691176960.0,2026-01-01
BK1031,光伏设备,-2872436224.0,2026-01-01
BK1037,消费电子,-3411581184.0,2026-01-01
BK0910,专用设备,-3472046080.0,2026-01-01
BK0459,电子元件,-4014537216.0,2026-01-01
BK1036,半导体,-5663350016.0,2026-01-01
