板块代码,板块名称,主力净流入,日期
BK0457,电网设备,1956194048.0,2026-01-13
BK1041,医疗器械,1332019456.0,2026-01-13
BK0465,化学制药,1115613440.0,2026-01-13
BK1015,能源金属,983728128.0,2026-01-13
BK1044,生物制品,909051600.0,2026-01-13
BK1046,游戏,886187264.0,2026-01-13
BK0727,医疗服务,842233856.0,2026-01-13
BK1042,医药商业,527928960.0,2026-01-13
BK0475,银行,484486656.0,2026-01-13
BK0732,贵金属,475257616.0,2026-01-13
BK1035,美容护理,219238144.0,2026-01-13
BK1017,采掘行业,191320736.0,2026-01-13
BK0740,教育,184863680.0,2026-01-13
BK0425,工程建设,93412864.0,2026-01-13
BK0464,石油行业,54107488.0,2026-01-13
BK1040,中药,38631936.0,2026-01-13
BK0427,公用事业,-4133281.0,2026-01-13
BK0734,珠宝首饰,-30914240.0,2026-01-13
BK0421,铁路公路,-49993200.0,2026-01-13
BK0428,电力行业,-63342592.0,2026-01-13
BK0450,航运港口,-78294112.0,2026-01-13
BK1045,房地产服务,-83628256.0,2026-01-13
BK0429,交运设备,-131310560.0,2026-01-13
BK1019,化学原料,-131380112.0,2026-01-13
BK0725,装修装饰,-139400128.0,2026-01-13
BK1016,汽车服务,-140443809.0,2026-01-13
BK0476,装修建材,-249391600.0,2026-01-13
BK1028,燃气,-249576688.0,2026-01-13
BK0731,化肥行业,-256130544.0,2026-01-13
BK0440,家用轻工,-311535088.0,2026-01-13
BK0730,农药兽药,-346727392.0,2026-01-13
BK0424,水泥建材,-395399072.0,2026-01-13
BK0420,航空机场,-407513296.0,2026-01-13
BK0422,物流行业,-446340688.0,2026-01-13
BK1043,专业服务,-449934464.0,2026-01-13
BK0726,工程咨询服务,-459207968.0,2026-01-13
BK0474,保险,-466758240.0,2026-01-13
BK0539,综合行业,-510198016.0,2026-01-13
BK0470,造纸印刷,-515856496.0,2026-01-13
BK0437,煤炭行业,-557993248.0,2026-01-13
BK0738,多元金融,-566801136.0,2026-01-13
BK0739,工程机械,-630442224.0,2026-01-13
BK0538,化学制品,-660265216.0,2026-01-13
BK0471,化纤行业,-695044128.0,2026-01-13
BK1018,橡胶制品,-745696000.0,2026-01-13
BK0479,钢铁行业,-846519824.0,2026-01-13
BK0733,包装材料,-908651280.0,2026-01-13
BK0477,酿酒行业,-925325088.0,2026-01-13
BK0484,贸易行业,-975754112.0,2026-01-13
BK0458,仪器仪表,-988730704.0,2026-01-13
BK0436,纺织服装,-993950016.0,2026-01-13
BK0729,船舶制造,-1078574992.0,2026-01-13
BK1029,汽车整车,-1095824160.0,2026-01-13
BK0473,证券,-1158766336.0,2026-01-13
BK0438,食品饮料,-1242899392.0,2026-01-13
BK0485,旅游酒店,-1266002512.0,2026-01-13
BK1030,电机,-1351560352.0,2026-01-13
BK0546,玻璃玻纤,-1363179104.0,2026-01-13
BK0728,环保行业,-1404485232.0,2026-01-13
BK0478,有色金属,-1575646464.0,2026-01-13
BK0451,房地产开发,-1620925856.0,2026-01-13
BK0433,农牧饲渔,-1690722704.0,2026-01-13
BK1039,电子化学品,-1735901456.0,2026-01-13
BK0454,塑料制品,-1750057568.0,2026-01-13
BK0482,商业百货,-2302307584.0,2026-01-13
BK1034,电源设备,-2445732544.0,2026-01-13
BK1038,光学光电子,-2477512192.0,2026-01-13
BK1027,小金属,-2590285824.0,2026-01-13
BK0456,家电行业,-2816078848.0,2026-01-13
BK1020,非金属材料,-2959303248.0,2026-01-13
BK0736,通信服务,-3390469280.0,2026-01-13
BK1033,电池,-3429585152.0,2026-01-13
BK1031,光伏设备,-4408562176.0,2026-01-13
BK0735,计算机设备,-5013108736.0,2026-01-13
BK0545,通用设备,-5419863552.0,2026-01-13
BK0910,专用设备,-5890972416.0,2026-01-13
BK1032,风电设备,-5926491648.0,2026-01-13
BK0481,汽车零部件,-6209154560.0,2026-01-13
BK0486,文化传媒,-7698316032.0,2026-01-13
BK0480,航天航空,-9497026816.0,2026-01-13
BK0459,电子元件,-9570383616.0,2026-01-13
BK1037,消费电子,-11356761856.0,2026-01-13
BK0737,软件开发,-12241431552.0,2026-01-13
BK1036,半导体,-15225957120.0,2026-01-13
BK0447,互联网服务,-16629507072.0,2026-01-13
BK0448,通信设备,-19619972608.0,2026-01-13
