板块代码,板块名称,主力净流入
BK0737,软件开发,10887183104.0
BK0447,互联网服务,6420562176.0
BK0486,文化传媒,3717065216.0
BK0473,证券,2693615872.0
BK0735,计算机设备,1849266176.0
BK1046,游戏,1141073152.0
BK1043,专业服务,504042400.0
BK1015,能源金属,479109120.0
BK0456,家电行业,435015936.0
BK1020,非金属材料,432033536.0
