板块代码,板块名称,主力净流入,日期
BK0737,软件开发,10887183104.0,2026-01-12
BK0447,互联网服务,6420562176.0,2026-01-12
BK0486,文化传媒,3717065216.0,2026-01-12
BK0473,证券,2693615872.0,2026-01-12
BK0735,计算机设备,1849266176.0,2026-01-12
BK1046,游戏,1141073152.0,2026-01-12
BK1043,专业服务,504042400.0,2026-01-12
BK1015,能源金属,479109120.0,2026-01-12
BK0456,家电行业,435015936.0,2026-01-12
BK1020,非金属材料,432033536.0,2026-01-12
BK1041,医疗器械,402062080.0,2026-01-12
BK0477,酿酒行业,391370352.0,2026-01-12
BK0424,水泥建材,383132992.0,2026-01-12
BK0458,仪器仪表,320997664.0,2026-01-12
BK0545,通用设备,267586048.0,2026-01-12
BK0422,物流行业,190697376.0,2026-01-12
BK0436,纺织服装,172202368.0,2026-01-12
BK0740,教育,133060064.0,2026-01-12
BK0479,钢铁行业,123916848.0,2026-01-12
BK0729,船舶制造,112184912.0,2026-01-12
BK0428,电力行业,109174784.0,2026-01-12
BK0429,交运设备,102183216.0,2026-01-12
BK0440,家用轻工,99137088.0,2026-01-12
BK0484,贸易行业,96833968.0,2026-01-12
BK1039,电子化学品,82506784.0,2026-01-12
BK0421,铁路公路,47255808.0,2026-01-12
BK0739,工程机械,41478816.0,2026-01-12
BK0427,公用事业,39220576.0,2026-01-12
BK0437,煤炭行业,-27785456.0,2026-01-12
BK0734,珠宝首饰,-41616213.0,2026-01-12
BK0738,多元金融,-56013376.0,2026-01-12
BK0420,航空机场,-87474880.0,2026-01-12
BK0482,商业百货,-113897472.0,2026-01-12
BK1016,汽车服务,-114397434.0,2026-01-12
BK0725,装修装饰,-121913408.0,2026-01-12
BK1045,房地产服务,-150361088.0,2026-01-12
BK1028,燃气,-153433824.0,2026-01-12
BK0476,装修建材,-191305552.0,2026-01-12
BK1035,美容护理,-207542752.0,2026-01-12
BK0726,工程咨询服务,-208179408.0,2026-01-12
BK0539,综合行业,-210704352.0,2026-01-12
BK0732,贵金属,-228529296.0,2026-01-12
BK0450,航运港口,-230944352.0,2026-01-12
BK0470,造纸印刷,-282091712.0,2026-01-12
BK0464,石油行业,-284799920.0,2026-01-12
BK0480,航天航空,-294353920.0,2026-01-12
BK0438,食品饮料,-332911344.0,2026-01-12
BK1042,医药商业,-345372704.0,2026-01-12
BK1017,采掘行业,-347475280.0,2026-01-12
BK0485,旅游酒店,-375605120.0,2026-01-12
BK0730,农药兽药,-381551584.0,2026-01-12
BK1018,橡胶制品,-394792400.0,2026-01-12
BK0731,化肥行业,-396797984.0,2026-01-12
BK0471,化纤行业,-433436576.0,2026-01-12
BK0727,医疗服务,-445708032.0,2026-01-12
BK1030,电机,-522998160.0,2026-01-12
BK1044,生物制品,-585772704.0,2026-01-12
BK0433,农牧饲渔,-592430544.0,2026-01-12
BK0546,玻璃玻纤,-610009872.0,2026-01-12
BK1019,化学原料,-627474624.0,2026-01-12
BK0475,银行,-659674624.0,2026-01-12
BK1040,中药,-693446512.0,2026-01-12
BK0425,工程建设,-696520976.0,2026-01-12
BK0733,包装材料,-756959600.0,2026-01-12
BK1037,消费电子,-820472832.0,2026-01-12
BK0448,通信设备,-854540800.0,2026-01-12
BK0736,通信服务,-950367744.0,2026-01-12
BK1031,光伏设备,-972366080.0,2026-01-12
BK0728,环保行业,-994642256.0,2026-01-12
BK1027,小金属,-1040848640.0,2026-01-12
BK1029,汽车整车,-1069937888.0,2026-01-12
BK0465,化学制药,-1437695232.0,2026-01-12
BK1038,光学光电子,-1513221888.0,2026-01-12
BK1034,电源设备,-1995870976.0,2026-01-12
BK0457,电网设备,-2010122240.0,2026-01-12
BK0451,房地产开发,-2013685456.0,2026-01-12
BK0538,化学制品,-2178915072.0,2026-01-12
BK0454,塑料制品,-2342122240.0,2026-01-12
BK0481,汽车零部件,-2402005504.0,2026-01-12
BK1032,风电设备,-2492619264.0,2026-01-12
BK0474,保险,-2661099216.0,2026-01-12
BK1036,半导体,-3033804800.0,2026-01-12
BK0478,有色金属,-3270051328.0,2026-01-12
BK0910,专用设备,-3942918400.0,2026-01-12
BK1033,电池,-6437826048.0,2026-01-12
BK0459,电子元件,-6604726528.0,2026-01-12
