板块代码,板块名称,主力净流入,日期
BK1037,消费电子,3860147712.0,2025-12-24
BK0459,电子元件,2650107136.0,2025-12-24
BK1034,电源设备,2015466416.0,2025-12-24
BK0448,通信设备,1783355392.0,2025-12-24
BK1036,半导体,1589921280.0,2025-12-24
BK0546,玻璃玻纤,1495910256.0,2025-12-24
BK0480,航天航空,1457730304.0,2025-12-24
BK1033,电池,1280145664.0,2025-12-24
BK0545,通用设备,1181135360.0,2025-12-24
BK1041,医疗器械,614212896.0,2025-12-24
BK0481,汽车零部件,558870784.0,2025-12-24
BK0470,造纸印刷,528212496.0,2025-12-24
BK1032,风电设备,456106480.0,2025-12-24
BK0478,有色金属,428814592.0,2025-12-24
BK0484,贸易行业,352052848.0,2025-12-24
BK0471,化纤行业,290768112.0,2025-12-24
BK0539,综合行业,286878064.0,2025-12-24
BK1020,非金属材料,247384976.0,2025-12-24
BK0738,多元金融,200683504.0,2025-12-24
BK0726,工程咨询服务,159732972.0,2025-12-24
BK0735,计算机设备,149802320.0,2025-12-24
BK0730,农药兽药,118071824.0,2025-12-24
BK1028,燃气,108944144.0,2025-12-24
BK1043,专业服务,103802144.0,2025-12-24
BK0457,电网设备,85453824.0,2025-12-24
BK0451,房地产开发,81340064.0,2025-12-24
BK0447,互联网服务,54046464.0,2025-12-24
BK0728,环保行业,49148656.0,2025-12-24
BK0733,包装材料,41345232.0,2025-12-24
BK0729,船舶制造,37744992.0,2025-12-24
BK0479,钢铁行业,32813616.0,2025-12-24
BK1031,光伏设备,22411008.0,2025-12-24
BK0420,航空机场,21195632.0,2025-12-24
BK0436,纺织服装,-969648.0,2025-12-24
BK0425,工程建设,-10473952.0,2025-12-24
BK0737,软件开发,-17555456.0,2025-12-24
BK1016,汽车服务,-22010122.0,2025-12-24
BK0731,化肥行业,-22042176.0,2025-12-24
BK0740,教育,-25198784.0,2025-12-24
BK0734,珠宝首饰,-26316554.0,2025-12-24
BK0429,交运设备,-33688672.0,2025-12-24
BK0725,装修装饰,-36453552.0,2025-12-24
BK0427,公用事业,-37564812.0,2025-12-24
BK1045,房地产服务,-48033974.0,2025-12-24
BK1035,美容护理,-48646497.0,2025-12-24
BK1018,橡胶制品,-53886304.0,2025-12-24
BK1017,采掘行业,-57831595.0,2025-12-24
BK0464,石油行业,-71573040.0,2025-12-24
BK0476,装修建材,-77853360.0,2025-12-24
BK0440,家用轻工,-82893920.0,2025-12-24
BK0456,家电行业,-85302160.0,2025-12-24
BK0486,文化传媒,-148884320.0,2025-12-24
BK1019,化学原料,-169245312.0,2025-12-24
BK0910,专用设备,-187921408.0,2025-12-24
BK0437,煤炭行业,-188129616.0,2025-12-24
BK0422,物流行业,-190171936.0,2025-12-24
BK0458,仪器仪表,-199802864.0,2025-12-24
BK0485,旅游酒店,-231872272.0,2025-12-24
BK0727,医疗服务,-238883552.0,2025-12-24
BK0424,水泥建材,-245515392.0,2025-12-24
BK1030,电机,-249208656.0,2025-12-24
BK0739,工程机械,-260609376.0,2025-12-24
BK1038,光学光电子,-266287360.0,2025-12-24
BK1044,生物制品,-270020848.0,2025-12-24
BK1042,医药商业,-280288400.0,2025-12-24
BK0428,电力行业,-284384464.0,2025-12-24
BK0473,证券,-297151296.0,2025-12-24
BK1040,中药,-348068624.0,2025-12-24
BK0421,铁路公路,-378145040.0,2025-12-24
BK0474,保险,-381686944.0,2025-12-24
BK1039,电子化学品,-406164736.0,2025-12-24
BK0450,航运港口,-471138800.0,2025-12-24
BK1015,能源金属,-497120512.0,2025-12-24
BK0732,贵金属,-501147632.0,2025-12-24
BK0538,化学制品,-507795456.0,2025-12-24
BK0433,农牧饲渔,-516944016.0,2025-12-24
BK0477,酿酒行业,-622315728.0,2025-12-24
BK0736,通信服务,-638273152.0,2025-12-24
BK0482,商业百货,-657255728.0,2025-12-24
BK1046,游戏,-743445424.0,2025-12-24
BK1029,汽车整车,-776481584.0,2025-12-24
BK0438,食品饮料,-852723232.0,2025-12-24
BK0475,银行,-991752464.0,2025-12-24
BK0454,塑料制品,-1048370960.0,2025-12-24
BK1027,小金属,-1070885120.0,2025-12-24
BK0465,化学制药,-1154613120.0,2025-12-24
